date,expiry,tenor,split,sigma_mkt,sig_pay_s1,sig_rec_s1,sig_str_s1,fwd_bias_s1,path_frac
2012-02-29,10,5,train,23.0,219.5,318.2,268.8,-124.4,1.0
2012-02-29,10,10,train,24.7,178.8,205.4,192.1,-33.6,1.0
2012-03-30,1,1,train,57.2,669.0,654.2,661.6,5.9,1.0
2012-03-30,1,5,train,38.3,522.8,1854.6,1188.7,-531.3,1.0
2012-03-30,1,10,train,32.5,526.6,900.1,713.4,-149.0,1.0
2012-03-30,5,1,train,33.8,424.9,185.3,305.1,213.7,1.0
2012-03-30,5,5,train,27.5,337.3,467.8,402.5,-116.4,1.0
2012-03-30,5,10,train,25.7,281.4,334.5,308.0,-47.4,1.0
2012-03-30,10,1,train,23.5,268.6,131.1,199.8,173.5,1.0
2012-03-30,10,5,train,22.5,210.9,399.4,305.2,-237.8,1.0
2012-03-30,10,10,train,24.3,179.9,163.4,171.6,20.9,1.0
2012-04-30,1,1,train,67.8,694.0,656.1,675.1,15.1,1.0
2012-04-30,1,5,train,40.4,583.8,1845.0,1214.4,-503.1,1.0
2012-04-30,1,10,train,32.3,525.3,892.7,709.0,-146.6,1.0
2012-04-30,5,1,train,34.9,431.6,283.5,357.6,132.1,1.0
2012-04-30,5,5,train,28.4,341.3,488.6,415.0,-131.4,1.0
2012-04-30,5,10,train,26.6,292.5,209.5,251.0,74.0,1.0
2012-04-30,10,1,train,24.2,271.9,150.2,211.1,153.4,1.0
2012-04-30,10,5,train,23.1,214.7,273.8,244.2,-74.7,1.0
2012-04-30,10,10,train,25.1,177.7,161.1,169.4,20.9,1.0
2012-05-31,1,1,train,84.4,658.6,657.3,657.9,0.5,1.0
2012-05-31,1,5,train,54.2,572.7,1801.1,1186.9,-490.1,1.0
2012-05-31,1,10,train,47.4,571.2,874.5,722.9,-121.0,1.0
2012-05-31,5,1,train,50.0,437.8,209.1,323.4,204.0,1.0
2012-05-31,5,5,train,40.2,353.8,495.3,424.6,-126.2,1.0
2012-05-31,5,10,train,37.9,318.7,219.5,269.1,88.5,1.0
2012-05-31,10,1,train,35.1,279.0,156.0,217.5,155.2,1.0
2012-05-31,10,5,train,33.6,226.5,289.5,258.0,-79.6,1.0
2012-05-31,10,10,train,37.1,190.7,160.4,175.6,38.1,1.0
2012-06-29,1,1,train,74.7,653.8,700.2,677.0,-18.5,1.0
2012-06-29,1,5,train,45.2,589.8,1851.3,1220.6,-503.3,1.0
2012-06-29,1,10,train,40.8,588.2,745.6,666.9,-62.8,1.0
2012-06-29,5,1,train,37.7,435.1,191.4,313.3,217.3,1.0
2012-06-29,5,5,train,31.5,352.4,519.5,435.9,-149.1,1.0
2012-06-29,5,10,train,30.5,294.7,275.4,285.0,17.2,1.0
2012-06-29,10,1,train,25.3,272.5,139.3,205.9,168.1,1.0
2012-06-29,10,5,train,25.6,225.5,233.2,229.3,-9.6,1.0
2012-06-29,10,10,train,28.8,178.0,238.1,208.0,-75.8,1.0
2012-07-31,1,1,train,116.8,693.7,668.2,681.0,10.2,1.0
2012-07-31,1,5,train,55.5,602.4,1844.7,1223.6,-495.6,1.0
2012-07-31,1,10,train,45.1,581.6,878.0,729.8,-118.3,1.0
2012-07-31,5,1,train,40.6,452.6,188.4,320.5,235.7,1.0
2012-07-31,5,5,train,34.5,355.1,504.6,429.8,-133.3,1.0
2012-07-31,5,10,train,32.8,308.0,189.9,248.9,105.4,1.0
2012-07-31,10,1,train,26.8,283.9,112.7,198.3,215.9,1.0
2012-07-31,10,5,train,27.1,229.8,230.0,229.9,-0.3,1.0
2012-07-31,10,10,train,30.5,189.3,118.2,153.7,89.6,1.0
2012-08-31,1,1,train,128.7,688.1,753.0,720.6,-25.9,1.0
2012-08-31,1,5,train,56.3,577.1,1695.4,1136.3,-446.1,1.0
