as_of_date,ccy,z_1,z_2,z_3,z_4
2010-08-31,DKK,-0.019692464,-0.0516936,0.09061126,-0.01845271
2010-09-30,DKK,-0.026726047,-0.053899042,0.101142086,-0.016410682
2010-10-29,DKK,-0.030235661,-0.05674758,0.10711575,-0.013912554
2010-11-30,DKK,-0.018310651,-0.06887571,0.11115003,-0.016026469
2010-12-31,DKK,-0.014337663,-0.07551049,0.11923656,-0.01409707
2011-01-31,DKK,-0.029343737,-0.06914611,0.12725939,-0.008481815
2011-02-28,DKK,-0.03277149,-0.06592347,0.12800208,-0.0060241646
2011-03-31,DKK,-0.048312306,-0.064539775,0.13904573,-0.0075262724
2011-04-29,DKK,-0.046082053,-0.06367896,0.1367585,-0.009167245
2011-05-31,DKK,-0.037054107,-0.06461856,0.12758087,-0.014755596
2011-06-30,DKK,-0.03372627,-0.06845473,0.13191539,-0.017471625
2011-08-31,DKK,-0.0076990533,-0.06959771,0.10403707,-0.022411523
2011-09-30,DKK,-0.012037255,-0.057066888,0.08828366,-0.019310186
2011-10-31,DKK,-0.012581358,-0.058845527,0.092630565,-0.018294534
2011-11-30,DKK,-0.0015930609,-0.06251755,0.08461104,-0.017802652
2011-12-30,DKK,0.0063921507,-0.059246484,0.07349186,-0.02112107
2012-01-31,DKK,0.009447295,-0.06142321,0.07356373,-0.025102127
2012-02-29,DKK,0.008195645,-0.062187172,0.077682905,-0.023122119
2012-03-30,DKK,0.009023931,-0.06362302,0.07868295,-0.022945656
2012-04-30,DKK,0.017771153,-0.0667776,0.0745721,-0.02630479
2012-05-31,DKK,0.0054434533,-0.04440543,0.05501109,-0.018444045
2012-06-29,DKK,0.031030469,-0.06520392,0.060887583,-0.023889625
2012-07-31,DKK,0.04756166,-0.06919802,0.052005865,-0.027914127
2012-08-31,DKK,0.045031548,-0.0676482,0.052741397,-0.027651222
2012-09-28,DKK,0.04496899,-0.06988164,0.056912087,-0.0280506
2012-10-31,DKK,0.041008037,-0.068812765,0.059371818,-0.026416974
2012-11-30,DKK,0.051648036,-0.0703199,0.053019892,-0.027581934
