as_of_date,ccy,z_1,z_2,z_3
2024-01-31,AUD,-0.07047134,-8.965751e-05,-0.16007751
2024-02-29,AUD,-0.07390349,3.6783895e-05,-0.16691628
2010-01-29,CAD,0.013578869,-0.008902551,-0.0994897
2010-02-26,CAD,0.013728348,-0.0086639,-0.09969038
2010-03-31,CAD,-0.0003846972,-0.007356046,-0.10935443
2010-04-30,CAD,-0.007156255,-0.0065914374,-0.11564942
2010-05-31,CAD,-0.007089683,-0.006325165,-0.11021135
2010-06-30,CAD,0.0026313884,-0.007501226,-0.10122994
2010-07-30,CAD,0.001757738,-0.007456221,-0.10070948
2010-08-31,CAD,0.0035370467,-0.0073879124,-0.089066684
2010-09-30,CAD,-0.003917309,-0.006411056,-0.09094095
2010-10-29,CAD,-0.0021057953,-0.007024896,-0.09246256
2010-11-30,CAD,-0.006896956,-0.005913909,-0.10063121
2010-12-31,CAD,-0.006794296,-0.006217566,-0.10431202
2011-01-31,CAD,-0.0030025893,-0.0067020827,-0.106530584
2011-02-28,CAD,-0.008137929,-0.006250494,-0.11161032
2011-03-31,CAD,-0.007393346,-0.0064831157,-0.113699645
2011-04-29,CAD,-0.0064612897,-0.0065692016,-0.109660506
2011-05-31,CAD,-0.004887063,-0.0066098943,-0.10248131
2011-06-30,CAD,-0.003902682,-0.006761952,-0.103969626
2011-07-29,CAD,-0.0032481453,-0.0065084347,-0.095439516
2011-08-31,CAD,0.0021415371,-0.0063303583,-0.08166874
2011-09-30,CAD,0.0043266886,-0.006205776,-0.072294064
2011-10-31,CAD,0.0027200538,-0.0065499838,-0.0789368
2011-11-30,CAD,-0.0018600535,-0.0053277877,-0.07347997
2011-12-30,CAD,-0.0036685362,-0.005273012,-0.0704275
2012-01-31,CAD,-0.0041945484,-0.0051448364,-0.07106408
2012-02-29,CAD,-0.005424559,-0.005487419,-0.07744451
2012-03-30,CAD,-0.0063949474,-0.0053258166,-0.0816306
2012-04-30,CAD,-0.012000746,-0.0047583347,-0.084431246
2012-05-31,CAD,-0.0098086,-0.004137276,-0.0690111
2012-06-29,CAD,-0.006883068,-0.0047110864,-0.07166242
2012-07-31,CAD,-0.010094758,-0.0042833644,-0.07184087
2012-08-31,CAD,-0.012115947,-0.0039207004,-0.07336034
2012-09-28,CAD,-0.009567409,-0.0041704415,-0.07149007
2012-10-31,CAD,-0.008255549,-0.004425259,-0.07268033
2012-11-30,CAD,-0.009420819,-0.0042035226,-0.07163723
2012-12-31,CAD,-0.0103865005,-0.0042823404,-0.074807905
2013-01-31,CAD,-0.008315601,-0.0047903326,-0.078738585
2013-02-28,CAD,-0.0046730665,-0.0050711846,-0.0743488
2013-03-29,CAD,-0.0063266256,-0.0050000898,-0.07573095
2013-04-30,CAD,-0.0071631246,-0.00460333,-0.07201743
2013-05-31,CAD,-0.007209406,-0.0048727524,-0.08077735
2013-06-28,CAD,-0.0061380835,-0.0051415977,-0.08976921
2013-07-31,CAD,-0.0046338164,-0.0053755017,-0.08988086
2013-08-30,CAD,-0.0030749484,-0.0056798654,-0.092559256
2013-09-30,CAD,-0.0015607959,-0.005879688,-0.09152244
2013-10-31,CAD,-0.000801426,-0.0060105077,-0.08846895
2013-11-29,CAD,0.0011517211,-0.0064085186,-0.08923111
2013-12-31,CAD,0.0019895975,-0.0062151537,-0.09319703
2014-01-31,CAD,0.0018207775,-0.0061470466,-0.08413215
2014-02-28,CAD,6.238672e-05,-0.005970164,-0.08488492
2014-03-31,CAD,-0.0011135312,-0.005677793,-0.08648229
2014-04-30,CAD,-0.002120158,-0.0055049583,-0.085776865
2014-05-30,CAD,-0.0030897819,-0.0053333878,-0.08251694
2014-06-30,CAD,-0.004077231,-0.0053482316,-0.083996214
2014-07-31,CAD,-0.0050552925,-0.0050465814,-0.0823648
2014-08-29,CAD,-0.0070025628,-0.0046936674,-0.07996407
2014-09-30,CAD,-0.0062897913,-0.0047019143,-0.08231147
2014-10-31,CAD,-0.0066850004,-0.004474892,-0.07981308
2014-11-28,CAD,-0.00824108,-0.0042280448,-0.076596126
2014-12-31,CAD,-0.010436865,-0.003977482,-0.07579912
2015-01-30,CAD,0.00081973325,-0.0042789103,-0.05307081
2015-02-27,CAD,0.0008584624,-0.0046233395,-0.05642745
2015-03-31,CAD,0.0009547319,-0.004697697,-0.057884566
2015-04-30,CAD,-0.00169754,-0.004632886,-0.06451919
2015-05-29,CAD,0.00062758964,-0.0049517103,-0.0638655
2015-06-30,CAD,0.004618419,-0.0057321326,-0.06500907
2015-07-31,CAD,0.007630425,-0.005731791,-0.057601083
2015-08-31,CAD,0.008429527,-0.005886089,-0.05779038
2015-09-30,CAD,0.0042680535,-0.005261048,-0.056971017
2015-10-30,CAD,0.003337577,-0.0053018997,-0.059432566
2015-11-30,CAD,0.0021421919,-0.005176038,-0.059206814
2015-12-31,CAD,0.0037866405,-0.005439553,-0.05882109
2016-01-29,CAD,0.004107279,-0.0051229764,-0.051163092
2016-02-29,CAD,-0.0022274083,-0.0041205194,-0.04778655
2016-03-31,CAD,-0.002592585,-0.0043306104,-0.0518284
2016-04-29,CAD,-0.005195828,-0.004373472,-0.058659967
2016-05-31,CAD,-0.005611942,-0.0040754415,-0.05473038
2016-06-30,CAD,-0.0057922364,-0.0035870646,-0.04714432
2016-07-29,CAD,-0.00802809,-0.00317424,-0.04686206
2016-08-31,CAD,-0.009312808,-0.002788112,-0.045987148
2016-09-30,CAD,-0.007846132,-0.002883026,-0.045537226
2016-10-31,CAD,-0.0056007314,-0.0035539973,-0.049959414
2016-11-30,CAD,-0.004164368,-0.0039926926,-0.058754746
2016-12-30,CAD,-0.005005316,-0.004033638,-0.06240381
2017-01-31,CAD,-0.0039481516,-0.004270211,-0.06390816
2017-02-28,CAD,-0.005028629,-0.0040103802,-0.06176179
2017-03-31,CAD,-0.0049555446,-0.0040750657,-0.06267174
2017-04-28,CAD,-0.005087203,-0.003937518,-0.059990235
2017-05-31,CAD,-0.005166532,-0.003890602,-0.05844162
2017-06-30,CAD,-0.013241747,-0.0032098216,-0.0705477
2017-07-31,CAD,-0.01656108,-0.0030216642,-0.07866994
2017-08-31,CAD,-0.018612705,-0.002618385,-0.07519303
2017-09-29,CAD,-0.023585502,-0.002351402,-0.08354817
2017-10-31,CAD,-0.021282211,-0.0024018532,-0.079800986
2017-11-30,CAD,-0.02249599,-0.0022041337,-0.078834824
2017-12-29,CAD,-0.027405115,-0.0019545187,-0.08463574
2018-07-31,CAD,-0.036813572,-0.0007488698,-0.09732245
2018-08-31,CAD,-0.038038246,-0.00057155266,-0.09629626
2018-09-28,CAD,-0.039863653,-0.00061908073,-0.10232446
2018-10-31,CAD,-0.04271145,-0.00059050706,-0.10701347
2018-11-30,CAD,-0.039909232,-0.0007153345,-0.101484396
2018-12-31,CAD,-0.035295166,-0.00088404526,-0.09252439
2019-01-31,CAD,-0.034093812,-0.0010504586,-0.09010705
2019-02-28,CAD,-0.0328241,-0.0012320435,-0.090014294
2019-03-29,CAD,-0.030261252,-0.0011372942,-0.0797344
2019-04-30,CAD,-0.028535021,-0.0015778273,-0.08163816
2019-05-31,CAD,-0.02781063,-0.001213545,-0.07519506
2019-06-28,CAD,-0.029558547,-0.000894234,-0.07309932
2019-07-31,CAD,-0.030797714,-0.00075967395,-0.07448515
2019-08-30,CAD,-0.029322287,-0.00036379212,-0.06487476
2019-09-30,CAD,-0.033876237,-2.7252945e-05,-0.07124073
2019-10-31,CAD,-0.03089776,-0.00043301695,-0.07225224
2019-11-29,CAD,-0.032224193,-0.00042881974,-0.07407526
2019-12-31,CAD,-0.03293175,-0.0005823888,-0.08155896
2020-01-31,CAD,-0.029440291,-0.00051407755,-0.068525665
2020-02-28,CAD,-0.023166891,-0.0006436806,-0.059266187
2020-03-31,CAD,-0.0061231414,-0.0018939055,-0.039390445
2020-04-30,CAD,-0.002011017,-0.0024855302,-0.035136014
2020-05-29,CAD,-0.0007955098,-0.002513127,-0.033998746
2020-06-30,CAD,-0.0013701926,-0.002531727,-0.034305822
