date,expiry,tenor,split,mkt_bp,sigma_str_bp,vol_error_bp,forward_bias_bp,path_frac
2021-03-31,10,5,test,78.8,52.313409696578375,-26.48659030342162,131.98830194137417,1.0
2021-03-31,10,10,test,83.0,65.62934234443428,-17.370657655565722,165.59152806803698,1.0
2021-04-30,10,10,test,76.4,63.990652158465195,-12.40934784153481,161.4568955663031,1.0
2021-04-30,10,5,test,73.2,50.403641567017345,-22.796358432982657,127.15795053295953,1.0
2021-04-30,10,1,test,89.8,64.70970747252616,-25.090292527473835,163.27116741434176,1.0
2021-04-30,1,10,test,234.2,188.06984920776065,-46.130150792239334,-78.73734953961268,1.0
2021-04-30,5,5,test,169.5,41.51085276570232,-127.98914723429769,60.48255188138802,1.0
2021-04-30,5,10,test,91.79999999999998,56.81730588895032,-34.98269411104966,99.75236610152815,1.0
2021-05-31,10,5,test,78.3,51.584553806442834,-26.715446193557163,130.1459682158336,1.0
2021-05-31,10,10,test,80.8,65.1264240527451,-15.673575947254903,164.3225985703572,1.0
2021-05-31,10,1,test,103.8,65.78399830622358,-38.01600169377642,165.98174555495189,1.0
2021-05-31,5,5,test,282.8,43.64406675182829,-239.15593324817172,61.31226625369139,1.0
2021-05-31,1,10,test,237.2,192.59179307267507,-44.608206927324915,-79.6723216055581,1.0
2021-05-31,5,10,test,98.5,58.510972699370356,-39.989027300629644,102.30820355022013,1.0
2021-06-30,1,10,test,250.5,194.949373696094,-55.550626303906,-79.27390089186333,1.0
2021-06-30,5,5,test,288.4,46.10975586290673,-242.29024413709325,60.99073179110169,1.0
2021-06-30,5,10,test,100.29999999999998,59.608375466724105,-40.69162453327588,105.27925914184388,1.0
2021-06-30,10,1,test,107.6,66.72342109357578,-40.876578906424214,168.35203374164703,1.0
2021-06-30,10,5,test,81.8,52.61804942536761,-29.18195057463239,132.75718795287273,1.0
2021-06-30,10,10,test,86.7,66.11702128366166,-20.582978716338346,166.82200665990584,1.0
2021-07-30,5,5,test,208.3,48.31803332964428,-159.98196667035575,83.61922577555603,1.0
2021-07-30,1,10,test,704.0,216.81275942520983,-487.18724057479017,-85.47516841352409,1.0
2021-07-30,5,10,test,276.2,67.52059394971025,-208.67940605028974,119.4688740355667,1.0
2021-07-30,10,1,test,194.9,72.13850799087295,-122.76149200912705,182.01501560178275,1.0
2021-07-30,10,5,test,205.8,58.169482843653626,-147.6305171563464,146.76931395191622,1.0
2021-07-30,10,10,test,193.9,71.01144858384033,-122.88855141615967,179.17129535765002,1.0
2021-08-31,10,5,test,173.4,57.090252136186095,-116.30974786381391,144.04627185514207,1.0
2021-08-31,5,10,test,243.2,65.85579802475117,-177.34420197524884,116.81455481144681,1.0
2021-09-30,10,10,test,86.2,66.05691417477091,-20.143085825229093,166.670348458659,1.0
2021-09-30,10,5,test,83.0,52.28676742873504,-30.71323257126496,131.9201237077799,1.0
2021-09-30,10,1,test,106.8,66.20171193717324,-40.598288062826754,167.03569240209208,1.0
2021-09-30,1,10,test,188.39999999999998,171.91228619548403,-16.48771380451595,-62.02875718732623,1.0
2021-09-30,5,5,test,170.9,41.24198162517888,-129.65801837482113,65.51099269065557,1.0
2021-09-30,5,10,test,94.0,59.50065446602959,-34.49934553397041,102.4160189108984,1.0
2021-10-29,1,10,test,194.7,149.18809895787524,-45.51190104212475,-39.07373623550242,1.0
2021-10-29,5,5,test,218.60000000000002,45.36172003794875,-173.23827996205128,67.79022418928223,1.0
2021-10-29,5,10,test,318.8999999999999,64.95507688483319,-253.94492311516672,111.81709181879303,1.0
2021-10-29,10,1,test,178.5,70.29145729625262,-108.20854270374738,177.3546619243663,1.0
2021-10-29,10,5,test,208.0,57.373921515243374,-150.62607848475662,144.76134518274205,1.0
2021-10-29,10,10,test,180.9,71.60778063944757,-109.29221936055244,180.67592016107577,1.0
2021-11-30,10,1,test,177.0,71.5091304655152,-105.4908695344848,180.42701269892405,1.0
2021-11-30,1,10,test,608.4,203.13644239997652,-405.26355760002343,-76.37407226184456,1.0
2021-11-30,5,10,test,269.9,66.5084600938978,-203.3915399061022,117.1126769869711,1.0
2021-11-30,10,5,test,194.9,58.16075364478091,-136.7392463552191,146.7472890263493,1.0
2021-12-31,10,10,test,114.3,67.43855657943841,-46.861443420561585,170.15641534367774,1.0
2021-12-31,10,1,test,110.59999999999998,66.03797972962116,-44.562020270378824,166.62257434431524,1.0
2021-12-31,10,5,test,99.09999999999998,52.873231455577084,-46.226768544422896,133.39919941788628,1.0
2021-12-31,5,5,test,188.6,40.23556893181468,-148.3644310681853,58.69879678324735,1.0
2021-12-31,5,10,test,102.09999999999998,58.91169507264719,-43.18830492735279,100.89797835105784,1.0
2021-12-31,1,10,test,161.8,143.5929593763997,-18.207040623600307,-43.279739207223976,1.0
2022-01-31,1,5,test,186.9,266.3049717991299,79.40497179912987,-179.70436705947168,1.0
2022-01-31,1,10,test,115.3,121.11466801368327,5.814668013683274,-34.90007080741736,1.0
2022-01-31,5,5,test,133.5,34.06485940979143,-99.43514059020856,58.49554446611158,1.0
2022-01-31,5,10,test,94.7,56.65159845805226,-38.04840154194774,100.55965094378561,1.0
2022-01-31,10,1,test,111.6,65.77258653748065,-45.827413462519345,165.95295215010285,1.0
2022-01-31,10,5,test,101.2,53.301547797606226,-47.89845220239378,134.47699403749675,1.0
2022-01-31,10,10,test,141.7,68.64370931281496,-73.05629068718503,173.19717539926157,1.0
2022-02-28,10,10,test,71.0,63.54676297865184,-7.4532370213481585,160.3369043405432,1.0
2022-02-28,10,5,test,62.4,46.360158287826714,-16.039841712173285,116.79213430586883,1.0
2022-02-28,10,1,test,62.7,58.02324691826715,-4.676753081732855,146.39996739458792,1.0
2022-02-28,5,10,test,61.9,44.01956683828141,-17.880433161718585,77.81796881601147,1.0
2022-02-28,1,5,test,107.7,184.19113580843953,76.49113580843952,-135.43183726372558,1.0
2022-02-28,5,1,test,122.4,48.23381501785312,-74.16618498214689,85.71891179426454,1.0
2022-02-28,1,10,test,75.2,86.579288504553,11.379288504553003,-39.512198606928585,1.0
2022-02-28,1,1,test,243.8,280.9236249859923,37.12362498599231,-67.86605916957316,1.0
2022-02-28,5,5,test,72.6,22.43563827854169,-50.164361721458306,32.10440734971672,1.0
2022-03-31,10,1,test,55.89999999999999,56.04155042274826,0.14155042274826712,141.3935495050802,1.0
