as_of_date,ccy,z_1
2012-09-28,DKK,0.21047151
2012-10-31,DKK,0.21898589
2012-11-30,DKK,0.20128861
2012-12-31,DKK,0.19729395
2013-01-31,DKK,0.23907122
2013-02-28,DKK,0.21775407
2013-03-29,DKK,0.21043915
2013-04-30,DKK,0.19058901
2013-05-31,DKK,0.21326366
2013-06-28,DKK,0.24048167
2013-07-31,DKK,0.23780829
2013-08-30,DKK,0.263629
2013-09-30,DKK,0.25389534
2013-10-31,DKK,0.24333823
2013-11-29,DKK,0.23850591
2013-12-31,DKK,0.25506526
2014-01-31,DKK,0.23673117
2014-02-28,DKK,0.23564348
2014-03-31,DKK,0.23349257
2014-04-30,DKK,0.22471124
2014-05-30,DKK,0.21136749
2014-06-30,DKK,0.2095041
2014-07-31,DKK,0.2054337
2014-08-29,DKK,0.17823312
2014-09-30,DKK,0.18127418
2014-10-31,DKK,0.17362444
2014-11-28,DKK,0.1589613
2014-12-31,DKK,0.14283589
2015-01-30,DKK,0.09518738
2015-02-27,DKK,0.09171395
2015-03-31,DKK,0.083357975
2015-04-30,DKK,0.09466902
2015-05-29,DKK,0.122137144
2015-06-30,DKK,0.15512595
2015-07-31,DKK,0.1446005
2015-08-31,DKK,0.15872897
2015-09-30,DKK,0.14928909
2015-10-30,DKK,0.13961828
2015-11-30,DKK,0.12898766
2015-12-31,DKK,0.14640005
2016-01-29,DKK,0.11914761
2016-02-29,DKK,0.09873879
2016-03-31,DKK,0.10485403
2016-04-29,DKK,0.11929591
2016-06-30,DKK,0.07609721
2016-07-29,DKK,0.069838636
2016-08-31,DKK,0.07094154
2016-09-30,DKK,0.0699677
2016-10-31,DKK,0.08961542
2016-11-30,DKK,0.10606902
2016-12-30,DKK,0.104351565
2017-01-31,DKK,0.11823128
2017-02-28,DKK,0.10194719
2017-03-31,DKK,0.111532345
2017-04-28,DKK,0.11326684
2017-05-31,DKK,0.11379571
2017-06-30,DKK,0.12287212
2017-07-31,DKK,0.12562028
2017-08-31,DKK,0.108384974
2017-09-29,DKK,0.115347415
2017-10-31,DKK,0.10954562
2017-11-30,DKK,0.10561678
2017-12-29,DKK,0.107807174
