expiry,tenor,forward_swap_0,annuity_0,strike,payer_price,receiver_price,mc_price,mc_stderr,mc_std,forward_bias,implied_vol,implied_vol_bps,valid_paths,total_paths,mean_annuity_expiry,mean_swap_rate_expiry,mean_discount_to_expiry,success,structure,date,pricing_date
1,1,-0.0010327236047142886,1.0036078290379387,-0.0010327236047142886,0.03301276182582313,0.023684737288948845,0.028348749557385984,0.0010129216194505845,,0.009294491600186253,0.07080432728299346,708.0432728299346,4858,10000,0.9900670791955025,0.020185109730584953,0.9777820470734138,True,1x1,2016-02-29,2016-02-29
1,5,0.0025351671184811243,4.997903757249631,0.0025351671184811243,0.14085350371318328,0.15710725736650755,0.14898038053984541,0.0036896086007758293,,-0.00325211417481732,0.0747190126830228,747.1901268302281,4858,10000,4.959987651776652,0.019175951510218645,0.9777820470734138,True,1x5,2016-02-29,2016-02-29
1,10,0.0066509337540418935,9.796721498912914,0.0066509337540418935,0.25546305872771635,0.25031490581426874,0.25288898227099255,0.004928262765033938,,0.0005254975262917164,0.06470518462461833,647.0518462461832,4858,10000,9.740710899350228,0.03143115424263534,0.9777820470734138,True,1x10,2016-02-29,2016-02-29
5,1,0.007480007587257719,0.9899008582763026,0.007480007587257719,0.04167559793878754,0.01656972827475996,0.02912266310677375,0.0009911730313076272,,0.025362004138216432,0.03297951901886749,329.7951901886749,4812,10000,0.9541599364247803,0.0565394812273573,0.8196875204994283,True,5x1,2016-02-29,2016-02-29
5,5,0.009935750256854005,4.851304566092639,0.009935750256854005,0.16655431779445334,0.10088376083715991,0.13371903931580664,0.003071349681785566,,0.013536679889423253,0.030898659551029856,308.98659551029857,4812,10000,4.4818189757205635,0.054104069442767556,0.8196875204994283,True,5x5,2016-02-29,2016-02-29
5,10,0.011678935186173205,9.414502169405765,0.011678935186173205,0.2806718876693301,0.16287487845064966,0.2217733830599899,0.004203643086534524,,0.012512292960267669,0.026406874027212757,264.06874027212757,4812,10000,8.234068081420757,0.060137430034638076,0.8196875204994283,True,5x10,2016-02-29,2016-02-29
10,1,0.012470412591637827,0.9374140338469473,0.012470412591637827,0.03533946593534544,0.010474024808249915,0.02290674537179768,0.00044572373402135805,,0.026525569523482655,0.019369654379673765,193.69654379673764,4565,10000,0.9363170200765832,0.07271887496414965,0.6677548092438966,True,10x1,2016-02-29,2016-02-29
10,5,0.013532179718255285,4.563197603313125,0.013532179718255285,0.14110330621883477,0.07038048834052985,0.1057418972796823,0.0025260942614189277,,0.015498521875747037,0.018368248952661356,183.68248952661355,4565,10000,4.240901163084134,0.06910200874693116,0.6677548092438966,True,10x5,2016-02-29,2016-02-29
10,10,0.014234840141215678,8.80763499727098,0.014234840141215678,0.23845847044730162,0.13365561453691446,0.18605704249210803,0.004654722903668955,,0.01189909163389037,0.01674467562857216,167.4467562857216,4565,10000,7.599062874426487,0.07298134040358134,0.6677548092438966,True,10x10,2016-02-29,2016-02-29
1,1,-0.0003319218447768096,1.002513689353718,-0.0003319218447768096,0.03230320385265831,0.02359293387418,0.027948068863419155,0.0008999642646995284,,0.008688429964575828,0.0698797636165375,698.797636165375,4889,10000,0.98987214583505,0.019469301350391897,0.9777565280610284,True,1x1,2016-01-29,2016-01-29
