date,expiry,tenor,split,sigma_mkt,sigma_adj,sigma_atm,forward_bias_bp,F0,F_model,n_surv
2022-04-29,10,1,test,36.1,225.4606994177881,280.20317592636957,164.0815228925242,0.0032503409311175346,0.019658493220369954,0.4990234375
2022-04-29,10,5,test,37.1,256.57820639927087,217.53782817981323,-118.34534330387491,0.014918756671249866,0.003084222340862376,0.501953125
2022-04-29,10,10,test,41.60000000000001,167.33576182800758,191.65539599620647,85.59368433974122,0.017194628715515137,0.02575399714948926,0.49365234375
2022-05-31,1,1,test,64.5,702.6904502243293,677.6672062952186,-19.546950212127808,0.005470776464790106,0.003516081443577325,0.59375
2022-05-31,1,5,test,54.9,1192.4504114666938,541.0400849397956,-423.0689272985224,0.01581435278058052,-0.02649253994927172,0.58154296875
2022-05-31,1,10,test,45.0,689.3873219878033,573.991110333667,-93.90524121894485,0.01852811872959137,0.009137594607696885,0.53466796875
2022-05-31,5,1,test,49.6,308.51594720322436,444.96007714070527,239.00788409708755,0.005470776464790106,0.02937156487449886,0.537109375
2022-05-31,5,5,test,40.10000000000001,401.3677889629889,341.29842370726976,-104.82447836284797,0.01581435278058052,0.005331904944295723,0.53173828125
2022-05-31,5,10,test,36.0,291.1599595440983,311.21878448870535,40.29147260916657,0.01852811872959137,0.022557265990508026,0.490234375
2022-05-31,10,1,test,31.8,216.16259006044274,274.07634399536886,172.67026110200263,0.005470776464790106,0.02273780257499037,0.52001953125
2022-05-31,10,5,test,32.0,286.36976922152013,210.7333107000318,-234.19202106240797,0.01581435278058052,-0.007604849325660277,0.4990234375
2022-05-31,10,10,test,34.1,183.0115270970921,183.6212562182009,2.177295421138363,0.01852811872959137,0.018745848271705206,0.4833984375
2022-06-30,1,1,test,68.2,752.9347981411977,646.231402236385,-82.01753255246562,0.009388510137796402,0.0011867568825498394,0.59326171875
2022-06-30,1,5,test,57.2,1371.0704458004516,542.1116195195583,-515.0541769259358,0.01882200874388218,-0.032683408948711405,0.58056640625
2022-06-30,1,10,test,46.0,753.77970409614,538.5493280478629,-171.94804768260187,0.021526874974370003,0.004332070206109817,0.56201171875
2022-06-30,5,1,test,44.0,310.7262576205155,414.66196835633207,184.1554546587821,0.009388510137796402,0.02780405560367461,0.544921875
