model,label,date,expiry,tenor,sigma_mkt,sigma_mod,err_bp,path_frac
stable,Stable (dim4),2019-04-30,1,10,56.7,574.3,517.6,1.0
stable,Stable (dim4),2019-04-30,5,1,116.6,490.1,373.5,1.0
stable,Stable (dim4),2019-04-30,5,5,51.4,372.7,321.3,1.0
stable,Stable (dim4),2019-04-30,5,10,38.5,326.8,288.3,1.0
stable,Stable (dim4),2019-04-30,10,1,42.1,309.1,267.0,1.0
stable,Stable (dim4),2019-04-30,10,5,35.9,244.5,208.6,1.0
stable,Stable (dim4),2019-04-30,10,10,34.4,196.4,162.0,1.0
stable,Stable (dim4),2019-05-31,1,5,659.5,665.9,6.4,1.0
stable,Stable (dim4),2019-05-31,1,10,82.1,586.2,504.1,1.0
stable,Stable (dim4),2019-05-31,5,1,305.6,479.3,173.7,1.0
stable,Stable (dim4),2019-05-31,5,5,68.6,384.5,315.9,1.0
stable,Stable (dim4),2019-05-31,5,10,47.3,323.5,276.2,1.0
stable,Stable (dim4),2019-05-31,10,1,52.3,316.6,264.3,1.0
stable,Stable (dim4),2019-05-31,10,5,42.2,245.5,203.3,1.0
stable,Stable (dim4),2019-05-31,10,10,40.2,198.4,158.2,1.0
stable,Stable (dim4),2019-06-28,1,10,134.7,611.5,476.8,1.0
stable,Stable (dim4),2019-06-28,5,5,104.0,375.9,271.9,1.0
stable,Stable (dim4),2019-06-28,5,10,61.5,326.4,264.9,1.0
stable,Stable (dim4),2019-06-28,10,1,68.2,320.8,252.6,1.0
stable,Stable (dim4),2019-06-28,10,5,52.3,248.5,196.2,1.0
stable,Stable (dim4),2019-06-28,10,10,49.6,203.3,153.7,1.0
stable,Stable (dim4),2019-07-31,1,10,584.8,612.4,27.6,1.0
stable,Stable (dim4),2019-07-31,5,5,235.7,401.8,166.1,1.0
stable,Stable (dim4),2019-07-31,5,10,90.0,333.7,243.7,1.0
stable,Stable (dim4),2019-07-31,10,1,115.2,328.2,213.0,1.0
stable,Stable (dim4),2019-07-31,10,5,69.0,245.8,176.8,1.0
stable,Stable (dim4),2019-07-31,10,10,64.5,207.0,142.5,1.0
stable,Stable (dim4),2019-08-30,5,10,293.7,327.5,33.8,1.0
stable,Stable (dim4),2019-08-30,10,1,153.8,330.9,177.1,1.0
stable,Stable (dim4),2019-08-30,10,5,226.5,258.4,31.9,1.0
stable,Stable (dim4),2019-08-30,10,10,0.9,210.9,210.0,1.0
stable,Stable (dim4),2019-09-30,5,10,195.6,336.7,141.1,1.0
stable,Stable (dim4),2019-09-30,10,1,229.6,317.4,87.8,1.0
stable,Stable (dim4),2019-09-30,10,5,176.3,267.4,91.1,1.0
stable,Stable (dim4),2019-09-30,10,10,190.3,206.2,15.9,1.0
stable,Stable (dim4),2019-10-31,1,10,502.4,619.5,117.1,1.0
stable,Stable (dim4),2019-10-31,5,10,126.8,326.4,199.6,1.0
stable,Stable (dim4),2019-10-31,10,1,171.9,321.7,149.8,1.0
stable,Stable (dim4),2019-10-31,10,5,101.0,253.4,152.4,1.0
stable,Stable (dim4),2019-10-31,10,10,96.7,199.7,103.0,1.0
stable,Stable (dim4),2019-11-29,1,10,552.9,611.5,58.6,1.0
stable,Stable (dim4),2019-11-29,5,5,211.7,392.2,180.5,1.0
stable,Stable (dim4),2019-11-29,5,10,116.2,321.1,204.9,1.0
stable,Stable (dim4),2019-11-29,10,1,173.7,329.8,156.1,1.0
stable,Stable (dim4),2019-11-29,10,5,95.7,256.1,160.4,1.0
stable,Stable (dim4),2019-11-29,10,10,93.6,207.4,113.8,1.0
stable,Stable (dim4),2019-12-31,1,10,149.3,603.6,454.3,1.0
stable,Stable (dim4),2019-12-31,5,5,115.0,386.3,271.3,1.0
stable,Stable (dim4),2019-12-31,5,10,76.2,320.1,243.9,1.0
stable,Stable (dim4),2019-12-31,10,1,81.8,313.4,231.6,1.0
stable,Stable (dim4),2019-12-31,10,5,63.9,245.2,181.3,1.0
stable,Stable (dim4),2019-12-31,10,10,63.6,206.9,143.3,1.0
stable,Stable (dim4),2020-01-31,1,10,767.0,624.1,-142.9,1.0
stable,Stable (dim4),2020-01-31,5,5,364.8,397.5,32.7,1.0
stable,Stable (dim4),2020-01-31,5,10,246.7,346.6,99.9,1.0
stable,Stable (dim4),2020-01-31,10,1,181.3,320.7,139.4,1.0
stable,Stable (dim4),2020-01-31,10,5,175.5,258.2,82.7,1.0
stable,Stable (dim4),2020-01-31,10,10,193.2,208.4,15.2,1.0
stable,Stable (dim4),2020-02-28,5,10,208.9,338.8,129.9,1.0
stable,Stable (dim4),2020-02-28,10,5,188.7,259.2,70.5,1.0
stable,Stable (dim4),2020-02-28,10,10,208.8,209.7,0.9,1.0
stable,Stable (dim4),2020-03-31,1,10,547.6,625.5,77.9,1.0
stable,Stable (dim4),2021-02-26,1,10,564.6,593.0,28.4,1.0
stable,Stable (dim4),2021-02-26,5,10,136.0,328.1,192.1,1.0
