date,expiry,tenor,sigma_mkt,sigma_mod1,ratio,path_frac
2014-01-31,5,10,26.0,278.3,10.704,1.0
2014-01-31,10,1,24.0,286.8,11.95,1.0
2014-01-31,10,5,22.6,217.4,9.621,1.0
2014-01-31,10,10,23.2,169.1,7.288,1.0
2014-02-28,1,1,89.1,723.2,8.117,1.0
2014-02-28,1,5,46.5,573.0,12.323,1.0
2014-02-28,1,10,31.1,489.1,15.727,1.0
2014-02-28,5,1,40.0,458.7,11.468,1.0
2014-02-28,5,5,29.4,343.4,11.681,1.0
2014-02-28,5,10,25.6,281.2,10.983,1.0
2014-02-28,10,1,23.5,289.4,12.313,1.0
2014-02-28,10,5,22.4,216.2,9.652,1.0
2014-02-28,10,10,22.9,173.0,7.555,1.0
2014-03-31,1,1,86.4,710.6,8.225,1.0
2014-03-31,1,5,47.8,560.2,11.72,1.0
2014-03-31,1,10,31.5,484.5,15.38,1.0
2014-03-31,5,1,42.3,458.4,10.838,1.0
2014-03-31,5,5,30.3,347.5,11.47,1.0
2014-03-31,5,10,26.3,286.3,10.886,1.0
2014-03-31,10,1,24.3,277.7,11.427,1.0
2014-03-31,10,5,22.6,223.6,9.895,1.0
2014-03-31,10,10,22.9,177.7,7.759,1.0
2014-04-30,1,1,93.5,716.1,7.659,1.0
2014-04-30,1,5,47.5,581.2,12.235,1.0
2014-04-30,1,10,31.7,522.1,16.471,1.0
2014-04-30,5,1,42.6,446.8,10.489,1.0
2014-04-30,5,5,30.5,349.7,11.466,1.0
2014-04-30,5,10,26.6,276.1,10.379,1.0
2014-04-30,10,1,25.3,291.5,11.524,1.0
2014-04-30,10,5,23.3,221.6,9.511,1.0
2014-04-30,10,10,23.5,177.0,7.53,1.0
2014-05-30,1,1,105.5,682.4,6.469,1.0
2014-05-30,1,5,48.0,579.3,12.068,1.0
2014-05-30,1,10,30.7,516.0,16.809,1.0
2014-05-30,5,1,43.3,454.2,10.49,1.0
2014-05-30,5,5,30.3,360.7,11.903,1.0
2014-05-30,5,10,26.6,290.6,10.923,1.0
2014-05-30,10,1,25.3,298.5,11.8,1.0
2014-05-30,10,5,23.2,225.3,9.71,1.0
2014-05-30,10,10,23.2,178.7,7.702,1.0
2014-06-30,1,1,85.8,760.0,8.858,1.0
2014-06-30,1,5,50.2,588.1,11.715,1.0
2014-06-30,1,10,31.8,548.7,17.254,1.0
2014-06-30,5,1,46.7,466.7,9.993,1.0
2014-06-30,5,5,32.5,364.2,11.207,1.0
2014-06-30,5,10,27.7,294.7,10.638,1.0
2014-06-30,10,1,26.6,290.1,10.904,1.0
2014-06-30,10,5,24.5,232.0,9.469,1.0
2014-06-30,10,10,24.1,180.1,7.472,1.0
2014-07-31,1,1,79.6,714.0,8.97,1.0
2014-07-31,1,5,50.2,611.7,12.186,1.0
2014-07-31,1,10,35.1,510.5,14.545,1.0
2014-07-31,5,1,51.3,444.8,8.67,1.0
2014-07-31,5,5,34.9,369.4,10.584,1.0
2014-07-31,5,10,29.8,297.1,9.969,1.0
2014-07-31,10,1,29.1,293.0,10.069,1.0
2014-07-31,10,5,26.7,228.3,8.55,1.0
2014-07-31,10,10,26.4,187.7,7.109,1.0
2014-08-29,1,1,120.7,710.5,5.886,1.0
2014-08-29,1,5,59.1,614.8,10.402,1.0
2014-08-29,1,10,43.5,548.7,12.614,1.0
2014-08-29,5,1,68.7,471.1,6.858,1.0
2014-08-29,5,5,43.1,370.7,8.601,1.0
2014-08-29,5,10,36.5,281.3,7.707,1.0
2014-08-29,10,1,36.3,297.6,8.197,1.0
2014-08-29,10,5,32.4,241.2,7.444,1.0
2014-08-29,10,10,32.1,189.1,5.892,1.0
2014-09-30,1,1,195.2,724.9,3.714,1.0
2014-09-30,1,5,56.5,590.7,10.456,1.0
2014-09-30,1,10,38.3,507.4,13.248,1.0
2014-09-30,5,1,57.0,473.2,8.302,1.0
2014-09-30,5,5,37.2,378.0,10.16,1.0
2014-09-30,5,10,31.2,294.9,9.452,1.0
2014-09-30,10,1,31.4,281.5,8.965,1.0
2014-09-30,10,5,28.2,228.1,8.088,1.0
2014-09-30,10,10,27.3,190.1,6.964,1.0
2014-10-31,1,1,162.3,734.5,4.526,1.0
2014-10-31,1,5,54.9,615.1,11.204,1.0
2014-10-31,1,10,40.5,535.1,13.212,1.0
2014-10-31,5,1,61.8,467.5,7.565,1.0
2014-10-31,5,5,38.9,351.1,9.026,1.0
2014-10-31,5,10,32.6,289.3,8.874,1.0
2014-10-31,10,1,32.3,300.7,9.311,1.0
2014-10-31,10,5,29.4,229.3,7.798,1.0
2014-10-31,10,10,28.4,188.6,6.643,1.0
2014-11-28,1,1,187.8,748.2,3.984,1.0
2014-11-28,1,5,66.8,597.6,8.947,1.0
2014-11-28,1,10,47.1,563.4,11.963,1.0
2014-11-28,5,1,79.1,456.9,5.777,1.0
2014-11-28,5,5,43.5,358.6,8.244,1.0
2014-11-28,5,10,35.8,310.3,8.667,1.0
2014-11-28,10,1,35.7,299.2,8.38,1.0
2014-11-28,10,5,32.2,242.9,7.543,1.0
2014-11-28,10,10,31.4,190.8,6.077,1.0
2014-12-31,1,1,343.0,679.5,1.981,1.0
2014-12-31,1,5,75.1,627.6,8.357,1.0
2014-12-31,1,10,57.8,580.5,10.043,1.0
2014-12-31,5,1,89.0,460.3,5.171,1.0
2014-12-31,5,5,49.8,370.8,7.445,1.0
2014-12-31,5,10,43.0,299.5,6.964,1.0
2014-12-31,10,1,42.3,293.3,6.934,1.0
2014-12-31,10,5,38.3,238.1,6.216,1.0
2014-12-31,10,10,37.4,196.2,5.245,1.0
2015-01-30,1,1,0.0,752.7,,1.0
2015-01-30,1,5,83.6,616.1,7.37,1.0
2015-01-30,1,10,67.1,578.3,8.618,1.0
2015-01-30,5,1,101.2,488.8,4.83,1.0
2015-01-30,5,5,60.9,367.5,6.034,1.0
2015-01-30,5,10,53.2,318.3,5.983,1.0
2015-01-30,10,1,55.9,289.9,5.187,1.0
2015-01-30,10,5,49.8,237.7,4.774,1.0
2015-01-30,10,10,48.1,193.1,4.014,1.0
2015-02-27,1,1,0.0,691.4,,1.0
2015-02-27,1,5,91.8,619.5,6.749,1.0
2015-02-27,1,10,70.7,597.1,8.446,1.0
2015-02-27,5,1,101.0,439.3,4.349,1.0
2015-02-27,5,5,58.8,378.4,6.435,1.0
2015-02-27,5,10,51.5,314.4,6.105,1.0
2015-02-27,10,1,54.0,296.5,5.491,1.0
2015-02-27,10,5,50.1,244.1,4.873,1.0
2015-02-27,10,10,46.9,193.9,4.135,1.0
2015-03-31,1,1,0.0,700.6,,1.0
2015-03-31,1,5,104.8,594.8,5.676,1.0
2015-03-31,1,10,89.0,586.1,6.585,1.0
2015-03-31,5,1,143.8,462.0,3.213,1.0
2015-03-31,5,5,82.6,367.8,4.452,1.0
2015-03-31,5,10,82.3,334.0,4.058,1.0
2015-03-31,10,1,103.7,298.4,2.877,1.0
2015-03-31,10,5,90.9,247.7,2.725,1.0
2015-03-31,10,10,95.4,196.6,2.06,1.0
2015-04-30,1,1,0.0,730.7,,1.0
2015-04-30,1,5,93.8,626.7,6.681,1.0
2015-04-30,1,10,73.0,577.1,7.906,1.0
2015-04-30,5,1,103.5,461.9,4.463,1.0
2015-04-30,5,5,66.7,395.0,5.921,1.0
2015-04-30,5,10,62.9,321.5,5.112,1.0
2015-04-30,10,1,66.3,292.7,4.415,1.0
2015-04-30,10,5,61.0,249.2,4.085,1.0
2015-04-30,10,10,60.8,198.7,3.269,1.0
2015-05-29,1,1,0.0,739.8,,1.0
2015-05-29,1,5,83.5,582.0,6.97,1.0
2015-05-29,1,10,64.8,590.5,9.113,1.0
2015-05-29,5,1,81.2,462.1,5.691,1.0
2015-05-29,5,5,52.9,373.0,7.05,1.0
2015-05-29,5,10,50.5,320.6,6.348,1.0
2015-05-29,10,1,48.4,294.9,6.094,1.0
2015-05-29,10,5,44.8,235.2,5.249,1.0
2015-05-29,10,10,47.0,188.7,4.016,1.0
2015-06-30,1,1,0.0,720.7,,1.0
2015-06-30,1,5,66.7,585.0,8.771,1.0
2015-06-30,1,10,54.2,526.7,9.718,1.0
2015-06-30,5,1,55.6,487.0,8.758,1.0
2015-06-30,5,5,40.4,352.4,8.724,1.0
2015-06-30,5,10,37.6,302.6,8.047,1.0
2015-06-30,10,1,35.0,294.5,8.414,1.0
2015-06-30,10,5,33.1,224.0,6.768,1.0
