date,expiry,tenor,sigma_mkt,sigma_mod_s1,sigma_mod_scal,err_s1_bp,err_cal_bp
2012-09-28,5,1,40.7,456.2,197.1,415.5,156.4
2012-09-28,5,5,32.0,343.1,127.7,311.1,95.7
2012-09-28,5,10,29.3,280.2,98.4,250.9,69.1
2012-09-28,10,1,25.1,290.5,135.2,265.4,110.1
2012-09-28,10,5,24.1,221.8,93.8,197.7,69.7
2012-09-28,10,10,25.8,186.9,79.2,161.1,53.4
2012-10-31,1,1,101.1,722.8,284.9,621.7,183.8
2012-10-31,1,5,48.7,560.0,115.0,511.3,66.3
2012-10-31,1,10,37.3,517.6,100.4,480.3,63.1
2012-10-31,5,1,38.3,458.4,200.4,420.1,162.1
2012-10-31,5,5,30.2,337.5,123.3,307.3,93.1
2012-10-31,5,10,27.8,268.9,102.7,241.1,74.9
2012-10-31,10,1,23.7,283.8,146.0,260.1,122.3
2012-10-31,10,5,22.7,213.2,102.1,190.5,79.4
2012-10-31,10,10,24.4,178.3,83.2,153.9,58.8
2012-11-30,1,1,122.1,727.8,274.6,605.7,152.5
2012-11-30,1,5,51.3,581.1,139.7,529.8,88.4
2012-11-30,1,10,37.1,513.7,114.6,476.6,77.5
2012-11-30,5,1,39.8,455.3,197.6,415.5,157.8
2012-11-30,5,5,30.3,354.4,129.4,324.1,99.1
2012-11-30,5,10,27.5,277.1,98.3,249.6,70.8
2012-11-30,10,1,23.7,297.3,142.4,273.6,118.7
2012-11-30,10,5,22.6,221.1,99.9,198.5,77.3
2012-11-30,10,10,24.0,173.7,83.9,149.7,59.9
2012-12-31,1,1,130.3,727.6,276.1,597.3,145.8
2012-12-31,1,5,56.6,603.8,134.5,547.2,77.9
2012-12-31,1,10,37.7,522.5,114.7,484.8,77.0
2012-12-31,5,1,42.9,441.5,204.8,398.6,161.9
2012-12-31,5,5,31.3,343.8,129.2,312.5,97.9
2012-12-31,5,10,27.9,294.3,100.3,266.4,72.4
2012-12-31,10,1,24.2,287.4,136.7,263.2,112.5
2012-12-31,10,5,23.1,218.0,106.2,194.9,83.1
2012-12-31,10,10,24.3,185.4,80.5,161.1,56.2
2013-01-31,1,1,72.4,722.5,310.9,650.1,238.5
2013-01-31,1,5,44.9,515.2,117.0,470.3,72.1
2013-01-31,1,10,32.1,518.8,97.9,486.7,65.8
2013-01-31,5,1,37.2,447.5,194.7,410.3,157.5
2013-01-31,5,5,28.1,342.3,113.0,314.2,84.9
2013-01-31,5,10,25.7,277.7,93.9,252.0,68.2
2013-01-31,10,1,23.1,287.6,143.3,264.5,120.2
2013-01-31,10,5,22.2,219.2,97.8,197.0,75.6
2013-01-31,10,10,23.1,167.0,81.7,143.9,58.6
2013-02-28,1,1,114.3,749.2,276.6,634.9,162.3
2013-02-28,1,5,51.8,544.2,127.9,492.4,76.1
