as_of_date,ccy,z_1,z_2
2013-11-29,CAD,-0.103134386,-0.009853837
2013-12-31,CAD,-0.1089245,-0.012383033
2014-01-31,CAD,-0.09749491,-0.0075115943
2014-02-28,CAD,-0.097561866,-0.011734292
2014-03-31,CAD,-0.099124916,-0.016352367
2014-04-30,CAD,-0.097773515,-0.018504765
2014-05-30,CAD,-0.093398154,-0.019145364
2014-06-30,CAD,-0.094648644,-0.021457816
2014-07-31,CAD,-0.09239306,-0.024126355
2014-08-29,CAD,-0.08857943,-0.028185893
2014-09-30,CAD,-0.09199962,-0.028283961
2014-10-31,CAD,-0.08884148,-0.029018562
2014-11-28,CAD,-0.08408856,-0.030987604
2014-12-31,CAD,-0.08209992,-0.035795726
2015-01-30,CAD,-0.060506266,-0.001905575
2015-02-27,CAD,-0.06435903,-0.0018157937
2015-03-31,CAD,-0.06619109,-0.0024070183
2015-04-30,CAD,-0.07296095,-0.011143231
2015-05-29,CAD,-0.07332112,-0.0049581076
2015-06-30,CAD,-0.0764636,0.005460818
2015-07-31,CAD,-0.069322295,0.014397906
2015-08-31,CAD,-0.069779366,0.016714003
2015-09-30,CAD,-0.066922896,0.006373726
2015-10-30,CAD,-0.06926341,0.0037316207
2015-11-30,CAD,-0.06844403,0.0010379278
2015-12-31,CAD,-0.06868567,0.0056271395
2016-01-29,CAD,-0.059699446,0.008561828
2016-02-29,CAD,-0.052834738,-0.006179483
2016-03-31,CAD,-0.057215538,-0.007552806
2016-04-29,CAD,-0.06413251,-0.015918233
2016-05-31,CAD,-0.059503894,-0.01635603
2016-06-30,CAD,-0.050570533,-0.015485333
2016-07-29,CAD,-0.04929966,-0.021570664
2016-08-31,CAD,-0.047969975,-0.025553072
2016-09-30,CAD,-0.04810705,-0.022103164
2016-10-31,CAD,-0.054263696,-0.01690966
2016-11-30,CAD,-0.065522835,-0.016703442
2016-12-30,CAD,-0.06954084,-0.020064136
2017-01-31,CAD,-0.07157691,-0.017323446
2017-02-28,CAD,-0.06856715,-0.019540232
2017-03-31,CAD,-0.06968359,-0.019561738
2017-04-28,CAD,-0.06624841,-0.018667124
2017-05-31,CAD,-0.06453981,-0.018441146
2017-06-30,CAD,-0.07531522,-0.043152098
2017-07-31,CAD,-0.08303443,-0.053374514
2017-08-31,CAD,-0.07789322,-0.05739868
2017-09-29,CAD,-0.08540052,-0.07161793
2017-10-31,CAD,-0.08218929,-0.065441824
2017-11-30,CAD,-0.08057014,-0.06817674
2017-12-29,CAD,-0.08556475,-0.08194908
2018-07-31,CAD,-0.09556553,-0.11020194
2018-08-31,CAD,-0.09356052,-0.11237667
2018-09-28,CAD,-0.09977235,-0.118432015
2018-10-31,CAD,-0.103705116,-0.1258065
2018-11-30,CAD,-0.098283514,-0.11687031
2018-12-31,CAD,-0.08957823,-0.10287183
2019-01-31,CAD,-0.08737066,-0.09883691
2019-02-28,CAD,-0.08796725,-0.095800065
2019-03-29,CAD,-0.07686837,-0.086502425
2019-04-30,CAD,-0.079802915,-0.08189958
2019-05-31,CAD,-0.07250934,-0.07894991
2019-06-28,CAD,-0.06937272,-0.083065726
2019-07-31,CAD,-0.07051881,-0.08671571
2019-08-30,CAD,-0.06001372,-0.08122711
2019-09-30,CAD,-0.06545075,-0.09441624
2019-10-31,CAD,-0.06818457,-0.087735124
2019-11-29,CAD,-0.069816776,-0.09142035
2019-12-31,CAD,-0.0784408,-0.09563161
2020-01-31,CAD,-0.064358875,-0.082711756
2020-02-28,CAD,-0.05675,-0.066214845
2020-03-31,CAD,-0.042065497,-0.020332504
2020-04-30,CAD,-0.03886095,-0.007750782
2020-05-29,CAD,-0.038235676,-0.0048497645
2020-06-30,CAD,-0.03845261,-0.006446934
2020-07-31,CAD,-0.035679653,-0.0064159166
2020-08-31,CAD,-0.040826216,-0.0010043598
2020-09-30,CAD,-0.03993533,-0.00131287
2020-10-30,CAD,-0.04300693,0.0035937221
2020-11-30,CAD,-0.043858524,0.0010701772
2020-12-31,CAD,-0.044541385,0.0063018063
2021-01-29,CAD,-0.050050694,0.012502361
2021-02-26,CAD,-0.06228901,0.0065068784
2021-03-31,CAD,-0.07024274,0.015456814
2021-04-30,CAD,-0.0682143,0.0143861305
2021-05-31,CAD,-0.06629464,0.010973877
2021-06-30,CAD,-0.06404621,-0.0028565812
2021-07-30,CAD,-0.059436433,-0.00040086347
2021-08-31,CAD,-0.06023602,-0.0025502054
2021-09-30,CAD,-0.06837605,-0.0075670714
2021-10-29,CAD,-0.076928906,-0.04795515
2021-11-30,CAD,-0.07107425,-0.050828286
2021-12-31,CAD,-0.06948042,-0.053375315
2022-01-31,CAD,-0.08174812,-0.065681875
2022-02-28,CAD,-0.08373125,-0.07402301
2022-03-31,CAD,-0.1029634,-0.11930291
2022-04-29,CAD,-0.118024,-0.14363408
2022-05-31,CAD,-0.11813309,-0.14437471
2022-06-30,CAD,-0.13033749,-0.17540692
2022-07-29,CAD,-0.11609627,-0.17611168
2022-08-31,CAD,-0.13346405,-0.21992752
2022-09-30,CAD,-0.13588841,-0.23112796
2022-10-31,CAD,-0.13946205,-0.23987432
2022-11-30,CAD,-0.1300312,-0.24497458
2022-12-30,CAD,-0.1405125,-0.24927069
2023-01-31,CAD,-0.12812153,-0.24032606
2023-02-28,CAD,-0.14109135,-0.2587616
2023-03-31,CAD,-0.12719062,-0.23833045
2023-04-28,CAD,-0.12659489,-0.24020785
2023-05-31,CAD,-0.13969661,-0.27115968
2023-06-30,CAD,-0.14393342,-0.29874727
2023-07-31,CAD,-0.15110804,-0.30236277
2023-08-31,CAD,-0.1529813,-0.29872054
2023-09-29,CAD,-0.16545093,-0.3018411
2023-10-31,CAD,-0.16438182,-0.28150317
2023-11-30,CAD,-0.14465027,-0.2603654
2023-12-29,CAD,-0.12817398,-0.24287434
2024-01-31,CAD,-0.13762209,-0.25303212
2024-02-29,CAD,-0.1435398,-0.25944674
2010-01-29,DKK,-0.12570556,-0.061579768
2010-02-26,DKK,-0.12222892,-0.05115565
2010-03-31,DKK,-0.120540425,-0.047584057
2010-04-30,DKK,-0.116527334,-0.04697293
2010-05-31,DKK,-0.10551989,-0.042530403
2010-06-30,DKK,-0.10401203,-0.042532105
2010-07-30,DKK,-0.10788485,-0.041364297
2010-08-31,DKK,-0.08674669,-0.048861075
2010-09-30,DKK,-0.09619029,-0.058035996
2010-10-29,DKK,-0.102200754,-0.06372538
2010-11-30,DKK,-0.10916601,-0.05649198
2010-12-31,DKK,-0.11822744,-0.05538543
2011-01-31,DKK,-0.12314914,-0.069972165
2011-02-28,DKK,-0.12318021,-0.07206445
2011-03-31,DKK,-0.13115972,-0.08934413
2011-04-29,DKK,-0.12881686,-0.08634862
2011-05-31,DKK,-0.120943636,-0.07605434
2011-06-30,DKK,-0.12529106,-0.074278615
2011-08-31,DKK,-0.10268657,-0.044722237
2011-09-30,DKK,-0.08637261,-0.0431005
2011-10-31,DKK,-0.09068469,-0.044539616
2011-11-30,DKK,-0.08558016,-0.034008425
2011-12-30,DKK,-0.07518394,-0.022730934
2012-01-31,DKK,-0.07539143,-0.020080248
2012-02-29,DKK,-0.0792542,-0.02200104
2012-03-30,DKK,-0.08054976,-0.021829674
2012-04-30,DKK,-0.07783738,-0.013305394
2012-05-31,DKK,-0.055876732,-0.016077597
2012-06-29,DKK,-0.06671157,0.0023780747
2012-07-31,DKK,-0.060452342,0.019597223
2012-08-31,DKK,-0.060601197,0.017495608
2012-09-28,DKK,-0.06460708,0.016048286
2012-10-31,DKK,-0.066500925,0.01217917
2012-11-30,DKK,-0.061880354,0.023773998
2012-12-31,DKK,-0.059989806,0.023808612
2013-01-31,DKK,-0.071593694,0.0030476775
2013-02-28,DKK,-0.06662899,0.01917028
2013-03-29,DKK,-0.06404702,0.019553004
2013-04-30,DKK,-0.057904523,0.02047444
2013-05-31,DKK,-0.06606317,0.02252033
2013-06-28,DKK,-0.07436229,0.0116653
2013-07-31,DKK,-0.073897496,0.015363308
2013-08-30,DKK,-0.08177337,0.008228334
2013-09-30,DKK,-0.07900462,0.012531551
2013-10-31,DKK,-0.07562269,0.019353861
2013-11-29,DKK,-0.07496859,0.028247496
2013-12-31,DKK,-0.08065242,0.0228536
2014-01-31,DKK,-0.074203335,0.024922306
2014-02-28,DKK,-0.07338141,0.024046702
2014-03-31,DKK,-0.072015055,0.022620095
2014-04-30,DKK,-0.06938704,0.023316897
2014-05-30,DKK,-0.06516941,0.027478017
2014-06-30,DKK,-0.06361683,0.024874328
2014-07-31,DKK,-0.061703105,0.019632267
2014-08-29,DKK,-0.053310934,0.016834045
2014-09-30,DKK,-0.054816224,0.026742585
2014-10-31,DKK,-0.05207101,0.022479082
2014-11-28,DKK,-0.047121726,0.017120887
2014-12-31,DKK,-0.042879056,0.01476574
2015-01-30,DKK,-0.031061657,0.029667238
2015-02-27,DKK,-0.030477261,0.03149711
2015-03-31,DKK,-0.02726608,0.017280504
2015-04-30,DKK,-0.03172054,0.026343085
2015-05-29,DKK,-0.039365206,0.028886288
2015-06-30,DKK,-0.050827462,0.03702303
2015-07-31,DKK,-0.046380363,0.030459478
2015-08-31,DKK,-0.050435554,0.029827455
2015-09-30,DKK,-0.0470544,0.029001066
