as_of_date,ccy,z_1,z_2,tau1,fd_short,r_tilde,error,abs_error
2023-04-28,SEK,-0.25838014483451843,-0.24870869517326355,0.0833333358168602,0.036359261721372604,0.0358586311340332,0.0005006305873394012,0.0005006305873394012
2023-05-31,SEK,-0.2678341269493103,-0.25759464502334595,0.0833333358168602,0.037512220442295074,0.03698382154107094,0.0005283989012241364,0.0005283989012241364
2023-06-30,SEK,-0.2871469259262085,-0.2819578945636749,0.0833333358168602,0.0399591289460659,0.0391492024064064,0.0008099265396595001,0.0008099265396595001
2023-07-31,SEK,-0.2820037007331848,-0.2739417850971222,0.0833333358168602,0.03927954286336899,0.038600124418735504,0.0006794184446334839,0.0006794184446334839
2023-08-31,SEK,-0.29051703214645386,-0.2800067067146301,0.0833333358168602,0.04023972898721695,0.03961029276251793,0.0006294362246990204,0.0006294362246990204
2023-09-29,SEK,-0.3065134286880493,-0.2874962091445923,0.0833333358168602,0.04192347452044487,0.04152962565422058,0.00039384886622428894,0.00039384886622428894
2023-10-31,SEK,-0.2988249957561493,-0.27861660718917847,0.0833333358168602,0.04100047051906586,0.040687598288059235,0.0003128722310066223,0.0003128722310066223
2023-11-30,SEK,-0.26406344771385193,-0.2509889304637909,0.0833333358168602,0.0369834378361702,0.03658181428909302,0.00040162354707717896,0.00040162354707717896
2023-12-29,SEK,-0.21785283088684082,-0.2115250825881958,0.0833333358168602,0.03127450495958328,0.0308688972145319,0.00040560774505138397,0.00040560774505138397
2024-01-31,SEK,-0.23141419887542725,-0.21920940279960632,0.0833333358168602,0.03289315849542618,0.032637838274240494,0.0002553202211856842,0.0002553202211856842
2024-02-29,SEK,-0.2571464776992798,-0.24300338327884674,0.0833333358168602,0.03610170632600784,0.0357782207429409,0.0003234855830669403,0.0003234855830669403
2011-05-31,GBP,-0.22961920499801636,-0.13245360553264618,0.0833333358168602,0.030750298872590065,0.033690132200717926,-0.002939833328127861,0.002939833328127861
