as_of_date,ccy,z_1,z_2
2014-11-28,CAD,0.018364182,-0.09916396
2014-12-31,CAD,0.020991879,-0.09603878
2015-01-30,CAD,0.0024409029,-0.07410895
2015-02-27,CAD,0.0024481872,-0.07885306
2015-03-31,CAD,0.0025828646,-0.0811171
2015-04-30,CAD,0.0074116094,-0.08820036
2015-05-29,CAD,0.004013215,-0.0894785
2015-06-30,CAD,-0.0016400188,-0.09475425
2015-07-31,CAD,-0.0064164214,-0.08713776
2015-08-31,CAD,-0.0074662683,-0.08795111
2015-09-30,CAD,-0.0021965003,-0.08315613
2015-10-30,CAD,-0.0007431708,-0.085691154
2015-11-30,CAD,0.0007470836,-0.08430238
2015-12-31,CAD,-0.0017775977,-0.08526924
2016-01-29,CAD,-0.0035568115,-0.074692816
2016-02-29,CAD,0.0040872144,-0.06433718
2016-03-31,CAD,0.005040989,-0.06950248
2016-04-29,CAD,0.009539266,-0.07690705
2016-05-31,CAD,0.009576076,-0.071184754
2016-06-30,CAD,0.008730657,-0.060448106
2016-07-29,CAD,0.011912592,-0.05808777
2016-08-31,CAD,0.014046973,-0.055854134
2016-09-30,CAD,0.012256141,-0.05648325
2016-10-31,CAD,0.009579631,-0.06470126
2016-11-30,CAD,0.009998573,-0.07836334
2016-12-30,CAD,0.011880511,-0.08283128
2017-01-31,CAD,0.010608636,-0.08566948
2017-02-28,CAD,0.011718656,-0.08170994
2017-03-31,CAD,0.011832624,-0.08305651
2017-04-28,CAD,0.011493352,-0.07892588
2017-05-31,CAD,0.0111764055,-0.07689119
2017-06-30,CAD,0.024395289,-0.086829714
2017-07-31,CAD,0.030375913,-0.09482423
2017-08-31,CAD,0.03226292,-0.088073544
2017-09-29,CAD,0.04031215,-0.09523656
2017-10-31,CAD,0.03684396,-0.092142075
2017-11-30,CAD,0.038281187,-0.08977025
2017-12-29,CAD,0.046294097,-0.09373408
2018-07-31,CAD,0.061412543,-0.10238928
2018-08-31,CAD,0.062498767,-0.09970113
