as_of_date,ccy,z_1,z_2
2022-02-28,CAD,0.043952107,-0.012191429
2022-03-31,CAD,0.0504623,-0.021503152
2022-04-29,CAD,0.05681764,-0.026439194
2022-05-31,CAD,0.05671866,-0.026697027
2022-06-30,CAD,0.060472544,-0.03325921
2022-07-29,CAD,0.051321547,-0.0344466
2022-08-31,CAD,0.05694223,-0.04333287
2022-09-30,CAD,0.057041243,-0.045879997
2022-10-31,CAD,0.058098625,-0.04783661
2022-11-30,CAD,0.051520795,-0.049596913
2022-12-30,CAD,0.057639513,-0.050037216
2023-01-31,CAD,0.05083482,-0.04884544
2023-02-28,CAD,0.056867585,-0.05213395
2023-03-31,CAD,0.050492607,-0.048325125
2023-04-28,CAD,0.049854435,-0.0488499
2023-05-31,CAD,0.054358207,-0.055141225
2023-06-30,CAD,0.053563856,-0.061148044
2023-07-31,CAD,0.057628527,-0.06156043
2023-08-31,CAD,0.059279878,-0.060579985
2023-09-29,CAD,0.06673648,-0.060628485
2023-10-31,CAD,0.06857496,-0.056120053
2023-11-30,CAD,0.058739536,-0.05237986
2023-12-29,CAD,0.050431967,-0.04932578
2024-01-31,CAD,0.055157393,-0.0511067
2024-02-29,CAD,0.058189895,-0.052150212
2010-01-29,DKK,0.07191598,-0.007173929
2010-02-26,DKK,0.07099666,-0.0050192066
2010-03-31,DKK,0.0703977,-0.0042820573
2010-04-30,DKK,0.06793877,-0.0043636328
2010-05-31,DKK,0.06150976,-0.0040034647
2010-06-30,DKK,0.06054622,-0.00422298
2010-07-30,DKK,0.06321472,-0.0035811886
2010-08-31,DKK,0.048808195,-0.0065682777
2010-09-30,DKK,0.053699072,-0.008037624
2010-10-29,DKK,0.056803897,-0.008980251
2010-11-30,DKK,0.06215424,-0.0069437306
2010-12-31,DKK,0.06796156,-0.0061397157
2011-01-31,DKK,0.069473945,-0.008972908
2011-02-28,DKK,0.069244556,-0.009512075
2011-03-31,DKK,0.07202723,-0.012995348
2011-04-29,DKK,0.070969954,-0.012504586
2011-05-31,DKK,0.06722557,-0.010730461
2011-06-30,DKK,0.070179954,-0.010159123
2011-08-31,DKK,0.05967319,-0.004704446
2011-09-30,DKK,0.049254317,-0.005302632
2011-10-31,DKK,0.051902093,-0.0053540985
2011-11-30,DKK,0.049953368,-0.0032137034
2011-12-30,DKK,0.04473012,-0.0013396147
2012-01-31,DKK,0.045194454,-0.0008034634
2012-02-29,DKK,0.047401536,-0.0009950607
2012-03-30,DKK,0.048254885,-0.0008112797
2012-04-30,DKK,0.04758794,0.0009295411
2012-05-31,DKK,0.033332568,-0.00087243156
2012-06-29,DKK,0.04251003,0.003880739
2012-07-31,DKK,0.040701203,0.007401611
2012-08-31,DKK,0.040575173,0.0069970894
2012-09-28,DKK,0.04302821,0.0069658523
2012-10-31,DKK,0.0437175,0.0062096547
2012-11-30,DKK,0.042319097,0.008607431
2012-12-31,DKK,0.04109721,0.008508227
2013-01-31,DKK,0.045832753,0.0044610505
2013-02-28,DKK,0.044680677,0.0077819806
2013-03-29,DKK,0.043181624,0.007799225
2013-04-30,DKK,0.039390314,0.007653145
2013-05-31,DKK,0.04477013,0.008606042
2013-06-28,DKK,0.048685186,0.0066299643
2013-07-31,DKK,0.048879903,0.0074864733
2013-08-30,DKK,0.052924797,0.006310386
2013-09-30,DKK,0.05168375,0.0070720497
2013-10-31,DKK,0.050429422,0.008425378
2013-11-29,DKK,0.05108257,0.010346774
2013-12-31,DKK,0.054032136,0.009530828
2014-01-31,DKK,0.050204366,0.009570661
2014-02-28,DKK,0.049584217,0.009357337
2014-03-31,DKK,0.048573647,0.008976926
2014-04-30,DKK,0.04699367,0.008927184
2014-05-30,DKK,0.04482843,0.00960927
2014-06-30,DKK,0.043499067,0.008879829
2014-07-31,DKK,0.04164908,0.007606957
2014-08-29,DKK,0.03599026,0.006561049
2014-09-30,DKK,0.038207226,0.0088703735
2014-10-31,DKK,0.035926927,0.007755593
2014-11-28,DKK,0.0321639,0.006369208
2014-12-31,DKK,0.029136116,0.005603839
2015-01-30,DKK,0.023511428,0.008423537
2015-02-27,DKK,0.023367178,0.008811411
2015-03-31,DKK,0.019445742,0.0053537544
2015-04-30,DKK,0.023454236,0.0077116103
2015-05-29,DKK,0.028606452,0.008620079
2015-06-30,DKK,0.036906797,0.011122498
2015-07-31,DKK,0.033323098,0.009407851
2015-08-31,DKK,0.03579066,0.009421964
2015-09-30,DKK,0.03356987,0.00910608
2015-10-30,DKK,0.03312287,0.010604722
2015-11-30,DKK,0.03275056,0.01251487
2015-12-31,DKK,0.035104364,0.011374713
2016-01-29,DKK,0.028940042,0.01037016
2016-02-29,DKK,0.024406318,0.009121041
2016-03-31,DKK,0.02519877,0.008972181
2016-04-29,DKK,0.029038908,0.010732997
2016-06-30,DKK,0.020292604,0.009122285
2016-07-29,DKK,0.018578948,0.008679863
2016-08-31,DKK,0.018782552,0.008697459
