expiry,k,T_k,P0_Tk,MC_mean,MC_stderr,abs_err,rel_err_pct,n_valid,vol_date,pricing_date
1,6,7,0.9609719719698933,0.9787627676736247,0.013215483344239687,0.017790795703731432,1.851333464727607,2473,2018-05-31,2018-05-31
1,7,8,0.9463143206030502,0.9621248640499609,0.014241728724396635,0.015810543446910685,1.6707496761578358,2473,2018-05-31,2018-05-31
1,8,9,0.9309270551736993,0.9434358159683569,0.014903392880250712,0.01250876079465757,1.343688608590669,2473,2018-05-31,2018-05-31
1,9,10,0.9150399353944475,0.9251417673262743,0.015423684389288945,0.010101831931826788,1.103977164392522,2473,2018-05-31,2018-05-31
1,10,11,0.898776094949872,0.9082429214901632,0.015906649552367647,0.009466826540291184,1.053301995178141,2473,2018-05-31,2018-05-31
5,0,5,0.9860167040574402,0.8119360757687197,0.003231513082133671,-0.1740806282887205,-17.654937038326228,2388,2018-05-31,2018-05-31
5,1,6,0.974454303253675,0.7745839370044071,0.003949662633332128,-0.1998703662492679,-20.51100452652387,2388,2018-05-31,2018-05-31
5,2,7,0.9609719719698933,0.7494420624138266,0.005527140002165221,-0.21152990955606665,-22.012078991487357,2388,2018-05-31,2018-05-31
5,3,8,0.9463143206030502,0.7295719394432639,0.00680153055977396,-0.21674238115978628,-22.90384668612693,2388,2018-05-31,2018-05-31
5,4,9,0.9309270551736993,0.7112036584086205,0.008410011455201817,-0.2197233967650788,-23.602643788678066,2388,2018-05-31,2018-05-31
5,5,10,0.9150399353944475,0.6925668841932938,0.009783580703609854,-0.22247305120115368,-24.31293352297809,2388,2018-05-31,2018-05-31
5,6,11,0.898776094949872,0.673079899428383,0.010975568330083509,-0.225696195521489,-25.111504054196825,2388,2018-05-31,2018-05-31
5,7,12,0.8822271521545431,0.6565043885407992,0.012440710778572664,-0.22572276361374388,-25.585560709902428,2388,2018-05-31,2018-05-31
5,8,13,0.8654882975663812,0.6357532246887029,0.013174014758811038,-0.22973507287767836,-26.543983728452222,2388,2018-05-31,2018-05-31
5,9,14,0.8486670651309394,0.6161170002991395,0.01374115897916442,-0.23255006483179985,-27.401801529309978,2388,2018-05-31,2018-05-31
5,10,15,0.8318794325996463,0.5983868638467396,0.014209556111218255,-0.2334925687529067,-28.068078089541892,2388,2018-05-31,2018-05-31
10,0,10,0.9150399353944475,0.6550748881108379,0.006374478228685906,-0.2599650472836096,-28.410240605678712,2298,2018-05-31,2018-05-31
10,1,11,0.898776094949872,0.6203076204018744,0.006706848382530441,-0.2784684745479976,-30.983075330183187,2298,2018-05-31,2018-05-31
10,2,12,0.8822271521545431,0.5961999893232087,0.007653727586918935,-0.28602716283133434,-32.42103375902784,2298,2018-05-31,2018-05-31
10,3,13,0.8654882975663812,0.5740964136794512,0.00878749990585222,-0.29139188388693005,-33.66791725622158,2298,2018-05-31,2018-05-31
10,4,14,0.8486670651309394,0.5522395632192804,0.009520118423282969,-0.296427501911659,-34.92859733703979,2298,2018-05-31,2018-05-31
10,5,15,0.8318794325996463,0.5312902864840758,0.010272634833435244,-0.3005891461155704,-36.13373937809966,2298,2018-05-31,2018-05-31
10,6,16,0.8152419009213383,0.5111340852690655,0.011104753520136621,-0.30410781565227285,-37.302770540693274,2298,2018-05-31,2018-05-31
10,7,17,0.7988638926831366,0.4931697440711986,0.01203542981460541,-0.305694148611938,-38.266111588196324,2298,2018-05-31,2018-05-31
10,8,18,0.7828421524943332,0.4780436897612193,0.01288517529822176,-0.3047984627331139,-38.934855738407656,2298,2018-05-31,2018-05-31
10,9,19,0.767257450474544,0.46165357766644294,0.01337154235181497,-0.30560387280810103,-39.830681685669774,2298,2018-05-31,2018-05-31
10,10,20,0.7521732804909776,0.446413228870966,0.013691488445622969,-0.30576005162001163,-40.65021445861892,2298,2018-05-31,2018-05-31
1,0,1,1.0025791360145697,0.9784190276978628,0.0008153590792767496,-0.024160108316706896,-2.4097956409453745,2432,2016-07-29,2016-07-29
1,1,2,1.0043688204647299,0.9765749879839088,0.0046353162463499365,-0.027793832480821012,-2.767293439870084,2432,2016-07-29,2016-07-29
1,2,3,1.0065311414251672,0.9764066767380314,0.006329394159259083,-0.03012446468713581,-2.992899419334606,2432,2016-07-29,2016-07-29
1,3,4,1.0056463582649862,0.9796391984830927,0.0077839495272633554,-0.026007159781893496,-2.586113852862047,2432,2016-07-29,2016-07-29
1,4,5,1.0020857618272137,0.9904573406203449,0.01045887806509489,-0.0116284212068688,-1.1604217572820728,2432,2016-07-29,2016-07-29
1,5,6,0.9967096013767615,0.9886348031980895,0.012119218731189494,-0.00807479817867196,-0.81014551956941,2432,2016-07-29,2016-07-29
1,6,7,0.9901313848301578,0.9802062568773277,0.013621197751686007,-0.009925127952830182,-1.002405145912296,2432,2016-07-29,2016-07-29
1,7,8,0.9827585014282062,0.9668190823024873,0.014865826588513759,-0.015939419125718945,-1.621906002599294,2432,2016-07-29,2016-07-29
1,8,9,0.9748288057947142,0.9502036750031768,0.015651110763331755,-0.024625130791537386,-2.5260979820412803,2432,2016-07-29,2016-07-29
1,9,10,0.966464604784624,0.9322151905189701,0.016216843873620306,-0.03424941426565398,-3.5437836105013316,2432,2016-07-29,2016-07-29
1,10,11,0.957729147589172,0.9151328885576108,0.016648607652289253,-0.04259625903156128,-4.447631059239035,2432,2016-07-29,2016-07-29
5,0,5,1.0020857618272137,0.8157188636013407,0.0033134417499661906,-0.18636689822587293,-18.597899034714313,2368,2016-07-29,2016-07-29
5,1,6,0.9967096013767615,0.7775856271426533,0.004279718338681369,-0.21912397423410812,-21.98473596837341,2368,2016-07-29,2016-07-29
