date,expiry,tenor,split,sigma_mkt,sigma_cal,s_cell,path_frac,sigma_mod1,err_s1_bp,err_cal_bp
2011-12-30,5,5,train,28.5,85.3,0.12419,1.0,302.6,274.1,56.8
2011-12-30,5,10,train,27.4,83.0,0.1274,1.0,270.9,243.49999999999997,55.6
2011-12-30,10,1,train,24.0,113.9,0.1214,1.0,267.4,243.39999999999998,89.9
2011-12-30,10,5,train,23.3,83.3,0.14504,1.0,197.5,174.2,60.0
2011-12-30,10,10,train,25.4,84.7,0.18302,1.0,163.8,138.4,59.300000000000004
2012-01-31,1,1,train,68.6,284.9,0.13841,1.0,651.9,583.3,216.29999999999998
2012-01-31,1,5,train,42.5,117.8,0.15101,1.0,514.4,471.9,75.3
2012-01-31,1,10,train,36.3,58.6,0.09815,1.0,489.2,452.9,22.300000000000004
2012-01-31,5,1,train,35.6,176.9,0.1419,1.0,418.1,382.5,141.3
2012-01-31,5,5,train,28.8,89.8,0.12419,1.0,338.7,309.9,61.0
2012-01-31,5,10,train,27.6,86.4,0.1274,1.0,269.5,241.9,58.800000000000004
2012-01-31,10,1,train,24.5,112.7,0.1214,1.0,264.2,239.7,88.2
2012-01-31,10,5,train,24.1,85.0,0.14504,1.0,204.7,180.6,60.9
2012-01-31,10,10,train,26.1,90.8,0.18302,1.0,168.2,142.1,64.69999999999999
2012-02-29,1,1,train,59.1,272.0,0.13841,1.0,679.0,619.9,212.9
2012-02-29,1,5,train,40.4,115.8,0.15101,1.0,499.9,459.5,75.4
2012-02-29,1,10,train,34.7,51.6,0.09815,1.0,499.8,465.1,16.9
2012-02-29,5,1,train,34.4,175.5,0.1419,1.0,417.5,383.1,141.1
2012-02-29,5,5,train,28.2,90.4,0.12419,1.0,324.3,296.1,62.2
2012-02-29,5,10,train,26.6,70.6,0.1274,1.0,263.2,236.6,43.99999999999999
2012-02-29,10,1,train,24.2,114.1,0.1214,1.0,267.7,243.5,89.89999999999999
2012-02-29,10,5,train,23.0,85.8,0.14504,1.0,212.2,189.2,62.8
2012-02-29,10,10,train,24.7,93.9,0.18302,1.0,163.6,138.9,69.2
2012-03-30,1,1,train,57.2,280.7,0.13841,1.0,654.4,597.1999999999999,223.5
2012-03-30,1,5,train,38.3,102.8,0.15101,1.0,483.4,445.09999999999997,64.5
2012-03-30,1,10,train,32.5,54.9,0.09815,1.0,472.2,439.7,22.4
2012-03-30,5,1,train,33.8,185.1,0.1419,1.0,420.5,386.7,151.3
2012-03-30,5,5,train,27.5,90.7,0.12419,1.0,316.4,288.9,63.2
2012-03-30,5,10,train,25.7,72.0,0.1274,1.0,252.1,226.4,46.3
2012-03-30,10,1,train,23.5,116.1,0.1214,1.0,266.8,243.3,92.6
2012-03-30,10,5,train,22.5,82.3,0.14504,1.0,203.8,181.3,59.8
2012-03-30,10,10,train,24.3,86.6,0.18302,1.0,169.1,144.79999999999998,62.3
2012-04-30,1,1,train,67.8,266.0,0.13841,1.0,679.9,612.1,198.2
2012-04-30,1,5,train,40.4,122.8,0.15101,1.0,530.4,490.0,82.4
2012-04-30,1,10,train,32.3,48.6,0.09815,1.0,463.7,431.4,16.300000000000004
2012-04-30,5,1,train,34.9,189.3,0.1419,1.0,428.3,393.40000000000003,154.4
2012-04-30,5,5,train,28.4,89.7,0.12419,1.0,323.6,295.20000000000005,61.300000000000004
2012-04-30,5,10,train,26.6,77.3,0.1274,1.0,270.0,243.4,50.699999999999996
2012-04-30,10,1,train,24.2,118.3,0.1214,1.0,270.3,246.10000000000002,94.1
2012-04-30,10,5,train,23.1,81.6,0.14504,1.0,206.8,183.70000000000002,58.49999999999999
2012-04-30,10,10,train,25.1,83.7,0.18302,1.0,165.5,140.4,58.6
2012-05-31,1,1,train,84.4,249.6,0.13841,1.0,645.9,561.5,165.2
2012-05-31,1,5,train,54.2,121.1,0.15101,1.0,531.6,477.40000000000003,66.89999999999999
2012-05-31,1,10,train,47.4,69.2,0.09815,1.0,507.6,460.20000000000005,21.800000000000004
2012-05-31,5,1,train,50.0,180.9,0.1419,1.0,432.0,382.0,130.9
2012-05-31,5,5,train,40.2,96.5,0.12419,1.0,334.8,294.6,56.3
2012-05-31,5,10,train,37.9,88.3,0.1274,1.0,291.2,253.29999999999998,50.4
2012-05-31,10,1,train,35.1,110.8,0.1214,1.0,276.9,241.79999999999998,75.69999999999999
2012-05-31,10,5,train,33.6,90.5,0.14504,1.0,217.7,184.1,56.9
2012-05-31,10,10,train,37.1,100.4,0.18302,1.0,177.8,140.70000000000002,63.300000000000004
2012-06-29,1,1,train,74.7,263.9,0.13841,1.0,644.4,569.6999999999999,189.2
2012-06-29,1,5,train,45.2,117.7,0.15101,1.0,542.4,497.2,72.5
2012-06-29,1,10,train,40.8,59.1,0.09815,1.0,525.2,484.40000000000003,18.300000000000004
2012-06-29,5,1,train,37.7,176.3,0.1419,1.0,430.3,392.6,138.60000000000002
2012-06-29,5,5,train,31.5,95.4,0.12419,1.0,336.4,304.9,63.900000000000006
2012-06-29,5,10,train,30.5,84.0,0.1274,1.0,270.2,239.7,53.5
2012-06-29,10,1,train,25.3,118.7,0.1214,1.0,269.5,244.2,93.4
2012-06-29,10,5,train,25.6,86.5,0.14504,1.0,216.7,191.1,60.9
2012-06-29,10,10,train,28.8,86.4,0.18302,1.0,164.4,135.6,57.60000000000001
2012-07-31,1,1,train,116.8,261.3,0.13841,1.0,674.1,557.3000000000001,144.5
2012-07-31,1,5,train,55.5,132.8,0.15101,1.0,549.5,494.0,77.30000000000001
2012-07-31,1,10,train,45.1,57.5,0.09815,1.0,512.6,467.5,12.399999999999999
2012-07-31,5,1,train,40.6,178.5,0.1419,1.0,447.2,406.59999999999997,137.9
2012-07-31,5,5,train,34.5,100.0,0.12419,1.0,336.6,302.1,65.5
2012-07-31,5,10,train,32.8,89.3,0.1274,1.0,282.6,249.8,56.5
2012-07-31,10,1,train,26.8,123.2,0.1214,1.0,285.1,258.3,96.4
2012-07-31,10,5,train,27.1,92.2,0.14504,1.0,220.3,193.20000000000002,65.1
