as_of_date,ccy,z1,z2,z3
2010-06-30,CAD,0.048263573860411434,-0.03930682842199264,-0.02877644274244429
2010-07-30,CAD,0.04739322495845623,-0.03770804575429286,-0.029891368535735267
2010-08-31,CAD,0.0432896029204764,-0.034971411775686995,-0.03089883161950781
2010-09-30,CAD,0.04238009279798999,-0.031485852656422175,-0.03147264178169093
2010-10-29,CAD,0.04286640918718769,-0.03142363718278256,-0.03205582156582536
2010-11-30,CAD,0.045409825422607394,-0.03155796620324937,-0.032267632319541856
2010-12-31,CAD,0.04707632709905034,-0.03293836704353748,-0.03256466922593447
2011-01-31,CAD,0.04868532691487542,-0.035028423517798134,-0.032860921598205084
2011-02-28,CAD,0.04999100517328286,-0.03474553340865576,-0.03296600300353197
2011-03-31,CAD,0.050864452843435305,-0.035143209689281876,-0.03327587566290846
2011-04-29,CAD,0.04944704641191258,-0.034473997143913575,-0.03380888527590344
2011-05-31,CAD,0.04724324458933537,-0.033511027212861796,-0.034397067153673036
2011-06-30,CAD,0.04734184405646597,-0.03280707386480438,-0.03493587309028331
2011-07-29,CAD,0.04421589455904882,-0.030845323245532512,-0.0355122262879974
2011-08-31,CAD,0.04011643920978502,-0.029459655482618675,-0.036021249179218694
2011-09-30,CAD,0.03703128835047235,-0.027971169581173305,-0.03628716428478439
2011-10-31,CAD,0.03793183751111406,-0.02646436550683373,-0.03618632771566709
2011-11-30,CAD,0.03531788404939048,-0.023126364180561645,-0.03582966416306257
2011-12-30,CAD,0.033373950606806056,-0.02074072407654235,-0.03551552167985794
2012-01-31,CAD,0.03313874509474495,-0.019973661792636634,-0.03517799881333378
2012-02-29,CAD,0.03493937914472301,-0.02034770229543229,-0.034679952947315434
2012-03-30,CAD,0.03605406403696936,-0.020242189227977877,-0.034098715086179045
2012-04-30,CAD,0.03561855942944489,-0.017832038096591406,-0.033482416538505165
2012-05-31,CAD,0.03082215834369351,-0.015882639332927346,-0.0332287671990971
2012-06-29,CAD,0.03139945630154214,-0.01601646245113187,-0.033018363391503366
2012-07-31,CAD,0.030957725087918945,-0.014833017200375812,-0.032759045555305524
2012-08-31,CAD,0.0311350441829101,-0.014219057238564611,-0.03262165035273495
2012-09-28,CAD,0.030965388794803168,-0.014918105537706132,-0.03272704422537342
2012-10-31,CAD,0.03156177056321876,-0.01564310424420342,-0.03286449682849103
2012-11-30,CAD,0.03132505899023485,-0.015564758785796771,-0.033014599824648834
2012-12-31,CAD,0.03246899836627363,-0.016221051135054905,-0.03325258305229088
2013-01-31,CAD,0.0342891196422107,-0.017998562581516955,-0.03361969870296298
2013-02-28,CAD,0.03357673534271948,-0.019116517601227238,-0.03406838311752299
2013-03-29,CAD,0.033873420572217025,-0.018933033008062254,-0.03425496941795518
2013-04-30,CAD,0.033023745229819323,-0.01895804891371456,-0.034457123114100666
2013-05-31,CAD,0.03645272852189273,-0.021379831588618305,-0.03462013456404322
2013-06-28,CAD,0.04043837359510388,-0.024734174639214433,-0.034828601373431814
2013-07-31,CAD,0.04144342486336121,-0.027040329861021076,-0.03520453993794319
2013-08-30,CAD,0.043047782557910294,-0.028983379362142462,-0.03554523076366928
2013-09-30,CAD,0.04318460428412098,-0.02998272129827042,-0.03594661387755977
2013-10-31,CAD,0.042478245793804485,-0.03035679238079998,-0.036329135735620084
2013-11-29,CAD,0.04308532314691567,-0.03143813232164254,-0.03658772414456108
2013-12-31,CAD,0.04458445797403911,-0.03216153802489881,-0.03655125164942827
2014-01-31,CAD,0.04135796809654384,-0.030536821915551272,-0.03648818570941347
2014-02-28,CAD,0.04088565420174743,-0.02909640709509369,-0.03616576302185336
2014-03-31,CAD,0.04093097581508043,-0.028143919727773196,-0.03574892020613662
2014-04-30,CAD,0.04015906903299153,-0.026903962095291476,-0.035319686730873455
2014-05-30,CAD,0.03859669941635359,-0.025423729402045122,-0.03490255590508731
2014-06-30,CAD,0.03843463180492071,-0.024322207970757754,-0.03444835701366978
