as_of_date,ccy,z_1,z_2,z_3
2023-12-29,CAD,-0.14273624,-0.016900284,0.17764537
2024-01-31,CAD,-0.1477701,-0.016403787,0.19425423
2024-02-29,CAD,-0.15103577,-0.025909837,0.19890271
2010-01-29,DKK,-0.01589079,-0.0033586884,0.23766826
2010-02-26,DKK,-0.0088577885,0.0022217021,0.23711306
2010-03-31,DKK,-0.0069184043,0.0042219395,0.23587751
2010-04-30,DKK,-0.0070637213,0.004406521,0.22799718
2010-05-31,DKK,-0.006043295,0.006112696,0.20774002
2010-06-30,DKK,-0.0067098,0.010217088,0.20694062
2010-07-30,DKK,-0.0056212824,0.008379831,0.21411185
2010-08-31,DKK,-0.015312961,0.00523655,0.16633885
2010-09-30,DKK,-0.019692196,0.00056171214,0.1802178
2010-10-29,DKK,-0.02176384,-0.0036869263,0.18851613
2010-11-30,DKK,-0.014592306,-0.001084604,0.2067914
2010-12-31,DKK,-0.012305149,-0.005051218,0.2233142
2011-01-31,DKK,-0.021931447,-0.014785307,0.22333623
2011-02-28,DKK,-0.023654632,-0.018655276,0.22039682
2011-03-31,DKK,-0.033958837,-0.019464483,0.23085983
2011-04-29,DKK,-0.03267358,-0.017259365,0.22824375
2011-05-31,DKK,-0.02697284,-0.00759491,0.2209484
2011-06-30,DKK,-0.025433563,-0.0054010605,0.23160173
2011-08-31,DKK,-0.008535802,0.008324179,0.20266551
2011-09-30,DKK,-0.010663634,0.00752533,0.16895188
2011-10-31,DKK,-0.010845814,0.0052999207,0.1760903
2011-11-30,DKK,-0.0037930259,0.0070723775,0.17005084
2011-12-30,DKK,0.0013474028,0.013701212,0.15592004
2012-01-31,DKK,0.003104114,0.018915879,0.1601928
2012-02-29,DKK,0.0022607623,0.0153279,0.16538829
2012-03-30,DKK,0.0026998802,0.015175442,0.16802448
2012-04-30,DKK,0.00799271,0.02065278,0.16828331
2012-05-31,DKK,0.0012829506,0.013648386,0.11812384
2012-06-29,DKK,0.016442113,0.020469671,0.15025237
2012-07-31,DKK,0.026717227,0.028051881,0.14710177
2012-08-31,DKK,0.025100313,0.027443187,0.14633654
2012-09-28,DKK,0.024717176,0.026923899,0.15383068
2012-10-31,DKK,0.022445874,0.024338514,0.15497108
2012-11-30,DKK,0.029206796,0.027401995,0.15083246
2012-12-31,DKK,0.028440276,0.028894914,0.14769596
2013-01-31,DKK,0.016968958,0.014449294,0.15682003
2013-02-28,DKK,0.027106216,0.027546497,0.15926205
2013-03-29,DKK,0.026556054,0.024554266,0.1522708
2013-04-30,DKK,0.025722895,0.028435672,0.14215207
2013-05-31,DKK,0.029289361,0.026891623,0.15873966
2013-06-28,DKK,0.024346879,0.014740745,0.16555883
2013-07-31,DKK,0.026917467,0.017370617,0.16730393
2013-08-30,DKK,0.024076479,0.0154945515,0.18029287
2013-09-30,DKK,0.026093172,0.020013614,0.17847458
2013-10-31,DKK,0.029457806,0.02588622,0.17693844
2013-11-29,DKK,0.03561394,0.030701088,0.18115222
2013-12-31,DKK,0.033404298,0.024532316,0.18768553
2014-01-31,DKK,0.033015054,0.029551521,0.17786478
2014-02-28,DKK,0.031969454,0.028877558,0.17544864
2014-03-31,DKK,0.030459344,0.029728645,0.17264381
2014-04-30,DKK,0.030334113,0.030918613,0.1681485
2014-05-30,DKK,0.03214516,0.034510493,0.16280952
2014-06-30,DKK,0.029761655,0.03508806,0.15904953
2014-07-31,DKK,0.025635934,0.031984437,0.15165971
2014-08-29,DKK,0.021494135,0.029045373,0.13172238
2014-09-30,DKK,0.028680038,0.03457151,0.1411269
2014-10-31,DKK,0.025052503,0.03188027,0.13256505
2014-11-28,DKK,0.020133484,0.02808653,0.118473105
2014-12-31,DKK,0.018016893,0.024067208,0.1067247
2015-01-30,DKK,0.026273185,0.022836687,0.08641886
2015-02-27,DKK,0.027276712,0.021812564,0.08516705
2015-03-31,DKK,0.017800195,0.01200799,0.06855825
2015-04-30,DKK,0.02462504,0.016966794,0.083381146
2015-05-29,DKK,0.02808803,0.021632424,0.1026413
2015-06-30,DKK,0.036341406,0.025512286,0.13111614
2015-07-31,DKK,0.030574057,0.02483139,0.11945547
2015-08-31,DKK,0.030889599,0.025247531,0.12780944
2015-09-30,DKK,0.029392602,0.026407568,0.12124429
2015-10-30,DKK,0.033744786,0.028179713,0.120141946
2015-11-30,DKK,0.039502732,0.034176376,0.12151743
2015-12-31,DKK,0.036279675,0.029860847,0.12730825
2016-01-29,DKK,0.032912325,0.030356186,0.107730456
2016-02-29,DKK,0.029023625,0.026403796,0.09123246
2016-03-31,DKK,0.028415687,0.026575262,0.09388788
2016-04-29,DKK,0.033599313,0.030667597,0.10791161
2016-06-30,DKK,0.028352506,0.02598453,0.07723647
2016-07-29,DKK,0.02674225,0.02455973,0.07090886
2016-08-31,DKK,0.026758285,0.024687275,0.07176373
2016-09-30,DKK,0.026882825,0.02569515,0.071598835
2016-10-31,DKK,0.02956713,0.025655856,0.08578093
2016-11-30,DKK,0.034567676,0.02970276,0.10161587
2016-12-30,DKK,0.03531892,0.029646045,0.10124777
2017-01-31,DKK,0.039835546,0.03163931,0.11481409
2017-02-28,DKK,0.03930755,0.033216286,0.10476395
2017-03-31,DKK,0.038706675,0.030374847,0.10923829
2017-04-28,DKK,0.03876533,0.03007164,0.1103551
