date,expiry,tenor,model_vol_bps,market_vol_bps
2019-12-31,5,1,326.89748480273937,43.7
2019-12-31,5,5,300.2646217152514,48.4
2019-12-31,5,10,258.7512185893817,52.3
2019-12-31,10,1,207.3710993448101,54.6
2019-12-31,10,5,188.40480477715437,55.1
2019-12-31,10,10,163.4638342317251,55.6
2019-11-29,1,1,783.7509082049072,16.9
2019-11-29,1,5,751.9563692289663,31.5
2019-11-29,1,10,632.2636457679488,43.1
2019-11-29,5,1,337.5878853039749,42.7
2019-11-29,5,5,294.7272883648141,48.5
2019-11-29,5,10,253.5422381129679,51.7
2019-11-29,10,1,204.63756610285952,55.6
2019-11-29,10,5,184.1694045835788,55.7
2019-11-29,10,10,155.0271569644159,55.9
2019-10-31,1,1,759.1319195255769,17.8
2019-10-31,1,5,741.0263019655332,31.9
2019-10-31,1,10,622.6320395440854,45.3
2019-10-31,5,1,347.9034748800644,42.1
2019-10-31,5,5,291.4995318066798,47.4
2019-10-31,5,10,250.67940497944747,51.3
2019-10-31,10,1,194.67744284053015,56.1
2019-10-31,10,5,184.04791455974637,55.1
2019-10-31,10,10,155.16401323309898,54.7
2019-09-30,1,1,752.7978601456933,21.8
2019-09-30,1,5,771.3657686061786,32.8
2019-09-30,1,10,637.8726357686664,47.0
2019-09-30,5,1,324.4747302644467,41.7
2019-09-30,5,5,296.82550709630175,47.0
2019-09-30,5,10,255.05628633836315,52.4
2019-09-30,10,1,196.50207462996963,53.7
2019-09-30,10,5,180.6725086514902,54.6
2019-09-30,10,10,156.74447150682616,54.9
2019-08-30,1,1,710.7021979037474,24.3
2019-08-30,1,5,739.3153312379933,36.6
2019-08-30,1,10,619.3580777406113,50.5
2019-08-30,5,1,339.6433353898597,46.2
2019-08-30,5,5,295.8811059811924,51.1
2019-08-30,5,10,251.0675053626824,56.1
2019-08-30,10,1,195.7283569251922,55.9
2019-08-30,10,5,180.9358673311829,56.0
2019-08-30,10,10,151.7348702751271,56.9
2019-07-31,1,1,738.8798822562898,19.2
2019-07-31,1,5,749.7986723586,32.5
2019-07-31,1,10,622.9944204651389,41.4
2019-07-31,5,1,326.4574763672558,44.3
2019-07-31,5,5,294.9463833847897,47.0
2019-07-31,5,10,253.84119560363345,48.6
2019-07-31,10,1,192.3547102083787,52.9
2019-07-31,10,5,179.2141416624261,52.2
2019-07-31,10,10,156.20296862200013,51.5
2019-06-28,1,1,730.6467221682831,21.8
2019-06-28,1,5,740.3530837753906,32.7
2019-06-28,1,10,628.5826121433053,38.7
2019-06-28,5,1,320.30048359552757,47.4
2019-06-28,5,5,296.2603042383967,49.1
2019-06-28,5,10,254.9082071024106,48.7
2019-06-28,10,1,197.6680837735502,55.1
2019-06-28,10,5,182.85588751723188,53.4
2019-06-28,10,10,160.58752392842138,52.0
2019-05-31,1,1,729.3459235195669,18.9
2019-05-31,1,5,740.2883932613128,32.9
2019-05-31,1,10,629.8732500487808,39.2
2019-05-31,5,1,312.42885101406614,47.7
2019-05-31,5,5,297.34699494726976,48.7
2019-05-31,5,10,260.0799819232351,48.5
2019-05-31,10,1,197.03060580918617,55.7
2019-05-31,10,5,186.06663167076587,54.2
2019-05-31,10,10,167.77532564989073,52.6
2019-04-30,1,1,694.9393366536095,18.1
2019-04-30,1,5,761.4031479539988,32.2
2019-04-30,1,10,649.4666978163335,38.3
2019-04-30,5,1,327.7359478017461,47.7
2019-04-30,5,5,300.883273118425,48.8
2019-04-30,5,10,260.3364893777718,48.2
2019-04-30,10,1,201.5388297136936,56.2
2019-04-30,10,5,187.69007369172851,54.4
2019-04-30,10,10,165.85829812959912,52.4
2019-03-29,1,1,729.3176464370704,17.4
2019-03-29,1,5,760.2606300961513,32.6
2019-03-29,1,10,651.3068982162088,38.6
2019-03-29,5,1,317.9932247071232,46.5
2019-03-29,5,5,303.8486564868405,47.7
2019-03-29,5,10,261.7857713848286,48.1
2019-03-29,10,1,191.42112437097296,54.8
2019-03-29,10,5,181.73560386228337,53.7
2019-03-29,10,10,163.390202542464,52.8
2019-02-28,1,1,732.0069396378465,17.5
2019-02-28,1,5,748.893255962554,34.2
2019-02-28,1,10,643.9238574337011,38.8
2019-02-28,5,1,315.5979337983719,53.0
2019-02-28,5,5,290.062996035962,53.7
2019-02-28,5,10,253.54813035294805,53.4
2019-02-28,10,1,194.19643428245044,60.1
2019-02-28,10,5,189.844923163496,58.8
2019-02-28,10,10,167.90292835885165,57.3
2019-01-31,1,1,700.5205142232701,18.5
2019-01-31,1,5,736.8551269813976,36.9
2019-01-31,1,10,636.1356395895929,39.6
2019-01-31,5,1,313.3518470851012,56.9
2019-01-31,5,5,298.5787286676551,57.2
2019-01-31,5,10,254.28709105607217,56.0
2019-01-31,10,1,197.49735873078967,62.9
2019-01-31,10,5,195.5603780743427,61.1
2019-01-31,10,10,171.62629313469614,59.4
2018-12-31,1,1,742.5730829099236,20.9
2018-12-31,1,5,781.1590133085567,40.5
