as_of_date,ccy,tau_years,sharpe_approx
2010-01-29,JPY,29.0,0.00013338366989046335
2010-01-29,JPY,30.0,0.001676788553595543
2010-01-29,NOK,1.0,1.164546251296997
2010-01-29,NOK,2.0,0.3972393274307251
2010-01-29,NOK,3.0,8.525744487997144e-05
2010-01-29,NOK,4.0,-0.03139699995517731
2010-01-29,NOK,5.0,-0.021211180835962296
2010-01-29,NOK,6.0,-0.014236445538699627
2010-01-29,NOK,7.0,-0.009695671498775482
2010-01-29,NOK,8.0,-0.006679979152977467
2010-01-29,NOK,9.0,-0.004594041034579277
2010-01-29,NOK,10.0,-0.0030923669692128897
2010-01-29,NOK,11.0,-0.0019752238877117634
2010-01-29,NOK,12.0,-0.0011372762965038419
2010-01-29,NOK,13.0,-0.0005168410134501755
2010-01-29,NOK,14.0,-7.260181882884353e-05
2010-01-29,NOK,15.0,0.00022712806821800768
2010-01-29,NOK,16.0,0.00041472885641269386
2010-01-29,NOK,17.0,0.0005215244018472731
2010-01-29,NOK,18.0,0.0005647455109283328
2010-01-29,NOK,19.0,0.0005681200418621302
2010-01-29,NOK,20.0,0.0005436173523776233
2010-01-29,NOK,21.0,0.0005054290522821248
2010-01-29,NOK,22.0,0.000460520590422675
2010-01-29,NOK,23.0,0.0004075717879459262
2010-01-29,NOK,24.0,0.0003597815230023116
2010-01-29,NOK,25.0,0.0003172614087816328
2010-01-29,NOK,26.0,0.00027717783814296126
2010-01-29,NOK,27.0,0.00024033461522776634
2010-01-29,NOK,28.0,0.00020783868967555463
2010-01-29,NOK,29.0,0.00018080005247611552
2010-01-29,NOK,30.0,0.005992615595459938
2010-01-29,SEK,1.0,1.3455860614776611
2010-01-29,SEK,2.0,0.1149970069527626
2010-01-29,SEK,3.0,-0.06417973339557648
2010-01-29,SEK,4.0,-0.02481873892247677
2010-01-29,SEK,5.0,-0.01551087573170662
2010-01-29,SEK,6.0,-0.011272004805505276
2010-01-29,SEK,7.0,-0.00845715869218111
2010-01-29,SEK,8.0,-0.006449389271438122
2010-01-29,SEK,9.0,-0.004937357734888792
2010-01-29,SEK,10.0,-0.003721649060025811
2010-01-29,SEK,11.0,-0.0027024131268262863
2010-01-29,SEK,12.0,-0.001834648079238832
2010-01-29,SEK,13.0,-0.0011060661636292934
2010-01-29,SEK,14.0,-0.0005165088223293424
2010-01-29,SEK,15.0,-6.076972567825578e-05
2010-01-29,SEK,16.0,0.0002691980334930122
2010-01-29,SEK,17.0,0.0004881347413174808
2010-01-29,SEK,18.0,0.0006179320043884218
2010-01-29,SEK,19.0,0.0006807472673244774
2010-01-29,SEK,20.0,0.0006930563831701875
2010-01-29,SEK,21.0,0.0006671156734228134
2010-01-29,SEK,22.0,0.0006220684736035764
2010-01-29,SEK,23.0,0.0005679695750586689
2010-01-29,SEK,24.0,0.0005051859188824892
2010-01-29,SEK,25.0,0.00044425908708944917
2010-01-29,SEK,26.0,0.0003866555052809417
2010-01-29,SEK,27.0,0.0003333573695272207
2010-01-29,SEK,28.0,0.00028593087336048484
2010-01-29,SEK,29.0,0.00024162691261153668
2010-01-29,SEK,30.0,0.00455425214022398
2010-01-29,USD,1.0,1.8307393789291382
2010-01-29,USD,2.0,0.00611360277980566
2010-01-29,USD,3.0,-0.08168363571166992
2010-01-29,USD,4.0,-0.0279273372143507
2010-01-29,USD,5.0,-0.01733822375535965
2010-01-29,USD,6.0,-0.012862066738307476
2010-01-29,USD,7.0,-0.010091899894177914
2010-01-29,USD,8.0,-0.00815387349575758
2010-01-29,USD,9.0,-0.006645864807069302
2010-01-29,USD,10.0,-0.005336224567145109
2010-01-29,USD,11.0,-0.004119724500924349
2010-01-29,USD,12.0,-0.0029792198911309242
2010-01-29,USD,13.0,-0.0019435534486547112
2010-01-29,USD,14.0,-0.001040903851389885
2010-01-29,USD,15.0,-0.000293192220851779
2010-01-29,USD,16.0,0.00028211032622493804
2010-01-29,USD,17.0,0.0006894003599882126
2010-01-29,USD,18.0,0.000955655996222049
2010-01-29,USD,19.0,0.0010999420192092657
2010-01-29,USD,20.0,0.0011497762752696872
2010-01-29,USD,21.0,0.001136982231400907
2010-01-29,USD,22.0,0.0010782151948660612
2010-01-29,USD,23.0,0.0009898657444864511
2010-01-29,USD,24.0,0.0008901939145289361
2010-01-29,USD,25.0,0.0007856368320062757
2010-01-29,USD,26.0,0.000687240797560662
2010-01-29,USD,27.0,0.0005961167626082897
