date,expiry,tenor,split,s_roll
2016-05-31,10,1,train,0.13877
2016-05-31,10,5,train,0.16842
2016-05-31,10,10,train,0.21018
2016-06-30,1,1,train,
2016-06-30,1,5,train,0.22618
2016-06-30,1,10,train,0.12491
2016-06-30,5,1,train,0.17835
2016-06-30,5,5,train,0.14349
2016-06-30,5,10,train,0.15057
2016-06-30,10,1,train,0.14036
2016-06-30,10,5,train,0.16998
2016-06-30,10,10,train,0.21174
2016-07-29,1,1,train,
2016-07-29,1,5,train,0.23702
2016-07-29,1,10,train,0.13418
2016-07-29,5,1,train,0.18673
2016-07-29,5,5,train,0.15453
2016-07-29,5,10,train,0.15933
2016-07-29,10,1,train,0.1481
2016-07-29,10,5,train,0.17866
2016-07-29,10,10,train,0.22458
2016-08-31,1,1,train,
2016-08-31,1,5,train,0.25148
2016-08-31,1,10,train,0.1474
2016-08-31,5,1,train,0.19152
2016-08-31,5,5,train,0.16984
2016-08-31,5,10,train,0.1695
2016-08-31,10,1,train,0.15726
2016-08-31,10,5,train,0.18824
2016-08-31,10,10,train,0.23955
2016-09-30,1,1,train,
2016-09-30,1,5,train,0.26944
2016-09-30,1,10,train,0.15849
2016-09-30,5,1,train,0.19947
2016-09-30,5,5,train,0.18478
2016-09-30,5,10,train,0.17857
2016-09-30,10,1,train,0.16754
2016-09-30,10,5,train,0.19808
2016-09-30,10,10,train,0.252
2016-10-31,1,1,train,
2016-10-31,1,5,train,
2016-10-31,1,10,train,0.1741
2016-10-31,5,1,train,
2016-10-31,5,5,train,0.20442
2016-10-31,5,10,train,0.19221
2016-10-31,10,1,train,0.17926
2016-10-31,10,5,train,0.21008
2016-10-31,10,10,train,0.27076
2016-11-30,1,1,train,
2016-11-30,1,5,train,
2016-11-30,1,10,train,0.17187
2016-11-30,5,1,train,
2016-11-30,5,5,train,0.20208
2016-11-30,5,10,train,0.19025
2016-11-30,10,1,train,0.17777
2016-11-30,10,5,train,0.20901
2016-11-30,10,10,train,0.26991
2016-12-30,1,1,train,
2016-12-30,1,5,train,
2016-12-30,1,10,train,0.17245
2016-12-30,5,1,train,
2016-12-30,5,5,train,0.20453
2016-12-30,5,10,train,0.1915
2016-12-30,10,1,train,0.17922
2016-12-30,10,5,train,0.20971
2016-12-30,10,10,train,0.27162
2017-01-31,1,1,train,
2017-01-31,1,5,train,
2017-01-31,1,10,train,0.17917
2017-01-31,5,1,train,
2017-01-31,5,5,train,0.21222
2017-01-31,5,10,train,0.19647
2017-01-31,10,1,train,0.18589
2017-01-31,10,5,train,0.21496
2017-01-31,10,10,train,0.2817
2017-02-28,1,1,train,
2017-02-28,1,5,train,
2017-02-28,1,10,train,0.17405
2017-02-28,5,1,train,
2017-02-28,5,5,train,0.20561
2017-02-28,5,10,train,0.19252
2017-02-28,10,1,train,0.18057
2017-02-28,10,5,train,0.20956
2017-02-28,10,10,train,0.27494
2017-03-31,1,1,train,
2017-03-31,1,5,train,0.33926
2017-03-31,1,10,train,0.16913
2017-03-31,5,1,train,
2017-03-31,5,5,train,0.20054
2017-03-31,5,10,train,0.18791
2017-03-31,10,1,train,0.17548
2017-03-31,10,5,train,0.2048
2017-03-31,10,10,train,0.26712
2017-04-28,1,1,train,
2017-04-28,1,5,train,0.27043
2017-04-28,1,10,train,0.16537
2017-04-28,5,1,train,0.26241
2017-04-28,5,5,train,0.1979
2017-04-28,5,10,train,0.18456
2017-04-28,10,1,train,0.1721
2017-04-28,10,5,train,0.20157
2017-04-28,10,10,train,0.2607
2017-05-31,1,1,train,
2017-05-31,1,5,train,0.25029
2017-05-31,1,10,train,0.16404
2017-05-31,5,1,train,0.24545
2017-05-31,5,5,train,0.19606
2017-05-31,5,10,train,0.18225
2017-05-31,10,1,train,0.17002
2017-05-31,10,5,train,0.19985
2017-05-31,10,10,train,0.25904
2017-06-30,1,1,train,
2017-06-30,1,5,train,0.24397
2017-06-30,1,10,train,0.16055
2017-06-30,5,1,train,0.23935
2017-06-30,5,5,train,0.19273
2017-06-30,5,10,train,0.17912
2017-06-30,10,1,train,0.16726
2017-06-30,10,5,train,0.19656
2017-06-30,10,10,train,0.25528
2017-07-31,1,1,train,
2017-07-31,1,5,train,0.23092
2017-07-31,1,10,train,0.14096
2017-07-31,5,1,train,0.22763
2017-07-31,5,5,train,0.16948
2017-07-31,5,10,train,0.16253
2017-07-31,10,1,train,0.15228
2017-07-31,10,5,train,0.17998
2017-07-31,10,10,train,0.22884
2017-08-31,1,1,train,
2017-08-31,1,5,train,0.21874
2017-08-31,1,10,train,0.13611
2017-08-31,5,1,train,0.21739
2017-08-31,5,5,train,0.16477
2017-08-31,5,10,train,0.15872
2017-08-31,10,1,train,0.14861
2017-08-31,10,5,train,0.17645
2017-08-31,10,10,train,0.22419
2017-09-29,1,1,train,
2017-09-29,1,5,train,0.21517
2017-09-29,1,10,train,0.12333
2017-09-29,5,1,train,0.2128
2017-09-29,5,5,train,0.14959
2017-09-29,5,10,train,0.14817
2017-09-29,10,1,train,0.13801
2017-09-29,10,5,train,0.16509
2017-09-29,10,10,train,0.20925
2017-10-31,1,1,train,
2017-10-31,1,5,train,0.20824
2017-10-31,1,10,train,0.10951
2017-10-31,5,1,train,0.20596
2017-10-31,5,5,train,0.13516
2017-10-31,5,10,train,0.13797
2017-10-31,10,1,train,0.12789
2017-10-31,10,5,train,0.15366
2017-10-31,10,10,train,0.19435
2017-11-30,1,1,train,
2017-11-30,1,5,train,0.20354
2017-11-30,1,10,train,0.10407
2017-11-30,5,1,train,0.201
2017-11-30,5,5,train,0.12979
2017-11-30,5,10,train,0.1335
2017-11-30,10,1,train,0.12313
2017-11-30,10,5,train,0.14806
2017-11-30,10,10,train,0.18593
2017-12-29,1,1,train,
2017-12-29,1,5,train,0.1916
2017-12-29,1,10,train,0.10028
2017-12-29,5,1,train,0.1925
2017-12-29,5,5,train,0.12735
2017-12-29,5,10,train,0.13096
2017-12-29,10,1,train,0.12093
2017-12-29,10,5,train,0.14583
2017-12-29,10,10,train,0.18195
2018-01-31,1,1,train,
2018-01-31,1,5,train,0.17593
2018-01-31,1,10,train,0.09528
2018-01-31,5,1,train,0.17734
2018-01-31,5,5,train,0.12401
2018-01-31,5,10,train,0.12714
2018-01-31,10,1,train,0.11885
2018-01-31,10,5,train,0.14296
2018-01-31,10,10,train,0.17712
2018-02-28,1,1,train,
2018-02-28,1,5,train,0.16788
2018-02-28,1,10,train,0.09168
