date,expiry,tenor,split,sigma_mkt,sigma_drift
2013-10-31,5,5,train,29.1,0.0
2013-10-31,5,10,train,26.1,0.0
2013-10-31,10,1,train,23.7,0.0
2013-10-31,10,5,train,22.0,0.0
2013-10-31,10,10,train,22.3,0.0
2013-11-29,1,1,train,104.4,4.8
2013-11-29,1,5,train,49.0,0.0
2013-11-29,1,10,train,32.2,0.0
2013-11-29,5,1,train,39.0,0.0
2013-11-29,5,5,train,28.9,0.0
2013-11-29,5,10,train,25.5,0.0
2013-11-29,10,1,train,23.5,0.0
2013-11-29,10,5,train,22.1,0.0
2013-11-29,10,10,train,22.6,0.0
2013-12-31,1,1,train,87.0,9.2
2013-12-31,1,5,train,43.9,0.0
2013-12-31,1,10,train,29.8,0.0
2013-12-31,5,1,train,37.0,0.0
2013-12-31,5,5,train,28.1,0.0
2013-12-31,5,10,train,25.0,0.0
2013-12-31,10,1,train,23.2,0.0
2013-12-31,10,5,train,22.0,0.0
2013-12-31,10,10,train,22.4,0.0
2014-01-31,1,1,train,107.6,0.8
2014-01-31,1,5,train,48.1,0.0
2014-01-31,1,10,train,31.4,0.0
2014-01-31,5,1,train,40.1,0.0
2014-01-31,5,5,train,29.0,0.0
2014-01-31,5,10,train,26.0,0.0
2014-01-31,10,1,train,24.0,0.0
2014-01-31,10,5,train,22.6,0.0
2014-01-31,10,10,train,23.2,0.0
2014-02-28,1,1,train,89.1,0.6
2014-02-28,1,5,train,46.5,0.0
2014-02-28,1,10,train,31.1,0.0
2014-02-28,5,1,train,40.0,0.0
2014-02-28,5,5,train,29.4,0.0
2014-02-28,5,10,train,25.6,0.0
2014-02-28,10,1,train,23.5,0.0
2014-02-28,10,5,train,22.4,0.0
2014-02-28,10,10,train,22.9,0.0
2014-03-31,1,1,train,86.4,0.7
2014-03-31,1,5,train,47.8,0.0
2014-03-31,1,10,train,31.5,0.0
2014-03-31,5,1,train,42.3,0.0
2014-03-31,5,5,train,30.3,0.0
2014-03-31,5,10,train,26.3,0.0
2014-03-31,10,1,train,24.3,0.0
2014-03-31,10,5,train,22.6,0.0
2014-03-31,10,10,train,22.9,0.0
2014-04-30,1,1,train,93.5,0.9
2014-04-30,1,5,train,47.5,0.0
2014-04-30,1,10,train,31.7,0.0
2014-04-30,5,1,train,42.6,0.0
2014-04-30,5,5,train,30.5,0.0
2014-04-30,5,10,train,26.6,0.0
2014-04-30,10,1,train,25.3,0.0
2014-04-30,10,5,train,23.3,0.0
2014-04-30,10,10,train,23.5,0.0
2014-05-30,1,1,train,105.5,0.0
2014-05-30,1,5,train,48.0,0.0
2014-05-30,1,10,train,30.7,0.0
2014-05-30,5,1,train,43.3,0.0
2014-05-30,5,5,train,30.3,0.4
2014-05-30,5,10,train,26.6,0.0
2014-05-30,10,1,train,25.3,0.0
2014-05-30,10,5,train,23.2,0.0
2014-05-30,10,10,train,23.2,0.0
2014-06-30,1,1,train,85.8,0.0
2014-06-30,1,5,train,50.2,0.0
2014-06-30,1,10,train,31.8,0.0
2014-06-30,5,1,train,46.7,0.0
2014-06-30,5,5,train,32.5,2.4
2014-06-30,5,10,train,27.7,0.0
2014-06-30,10,1,train,26.6,0.0
2014-06-30,10,5,train,24.5,0.1
